device_id,charge_date,charge_time,,
238,2/3/2023,14:39:46,,
550,3/5/2023,06:23:18,,
568,1/10/2023,03:30:58,,
261,4/1/2023,19:50:54,,
192,3/27/2023,01:06:39,,
244,2/25/2023,04:51:29,,
23,1/2/2023,22:02:40,,
604,2/22/2023,02:37:54,,
157,1/21/2023,09:44:40,,
641,3/18/2023,21:45:31,,
234,1/17/2023,11:03:06,,
722,1/20/2023,20:20:23,,
859,3/12/2023,19:36:42,,
488,2/6/2023,14:21:55,,
273,1/10/2023,08:23:09,,
148,3/10/2023,08:03:59,,
841,3/22/2023,22:30:41,,
596,3/24/2023,06:28:53,,
130,1/29/2023,20:40:38,,
954,2/21/2023,10:32:45,,
962,3/3/2023,02:44:30,,
444,1/13/2023,04:07:15,,
75,3/15/2023,20:12:31,,
781,1/16/2023,01:33:21,,
471,4/1/2023,19:19:18,,
559,1/31/2023,16:01:13,,
955,1/14/2023,04:17:05,,
538,3/21/2023,13:05:57,,
243,3/1/2023,15:06:14,,
796,2/14/2023,18:45:01,,
967,2/4/2023,13:24:26,,
853,3/13/2023,21:50:46,,
768,2/16/2023,14:19:44,,
820,3/2/2023,14:07:28,,
843,3/2/2023,22:36:01,,
515,1/6/2023,12:58:52,,
983,3/12/2023,01:50:47,,
352,3/20/2023,04:50:56,,
532,1/24/2023,17:48:17,,
266,3/26/2023,18:52:52,,
665,3/21/2023,23:42:08,,
88,3/28/2023,09:54:07,,
479,2/9/2023,13:12:11,,
477,1/23/2023,20:13:42,,
590,3/3/2023,03:25:37,,
702,2/9/2023,21:44:44,,
158,2/22/2023,05:27:49,,
987,1/14/2023,13:36:39,,
935,2/11/2023,05:04:10,,
870,2/18/2023,10:44:42,,
263,3/14/2023,12:49:20,,
655,1/25/2023,05:55:20,,
373,3/31/2023,19:40:19,,
796,1/22/2023,17:04:16,,
720,3/3/2023,16:26:28,,
421,3/10/2023,17:30:05,,
790,3/15/2023,21:33:02,,
110,3/24/2023,00:47:17,,
674,2/2/2023,15:53:46,,
761,2/12/2023,15:26:33,,
267,3/16/2023,14:34:11,,
109,1/25/2023,20:44:32,,
129,1/23/2023,07:17:28,,
259,2/24/2023,11:04:57,,
765,3/1/2023,22:12:43,,
18,3/14/2023,20:34:12,,
70,3/16/2023,12:51:23,,
858,3/14/2023,20:15:16,,
236,1/28/2023,14:06:26,,
578,3/27/2023,21:26:33,,
784,3/9/2023,11:27:22,,
442,2/17/2023,12:44:19,,
592,1/23/2023,05:18:19,,
128,3/12/2023,20:58:30,,
873,3/27/2023,20:08:04,,
779,3/31/2023,19:00:08,,
521,3/22/2023,20:57:41,,
565,1/31/2023,23:40:08,,
732,3/18/2023,16:33:28,,
486,2/11/2023,22:53:02,,
845,2/27/2023,07:51:28,,
731,2/13/2023,15:02:52,,
40,2/14/2023,03:36:18,,
