device_id,connection_date,connection_time,device_type
47,2023-01-03,2023-04-15 22:59:45,Monitor
135,2023-03-12,2023-04-15 02:02:19,Speaker
369,2023-02-03,2023-04-15 15:48:50,Watch
374,2023-01-12,2023-04-15 21:28:41,Speaker
960,2023-01-30,2023-04-15 11:02:15,Speaker
334,2023-02-08,2023-04-15 03:02:19,IoT Device
211,2023-01-29,2023-04-15 18:19:01,IoT Device
128,2023-01-12,2023-04-15 17:42:52,Monitor
226,2023-03-15,2023-04-15 03:04:38,Watch
665,2023-01-28,2023-04-15 23:54:16,IoT Device
666,2023-02-26,2023-04-15 00:12:56,Speaker
318,2023-02-18,2023-04-15 17:42:15,Watch
582,2023-01-07,2023-04-15 15:10:44,IoT Device
563,2023-01-25,2023-04-15 14:08:01,Watch
631,2023-02-17,2023-04-15 04:01:57,Speaker
697,2023-02-02,2023-04-15 17:19:09,Speaker
405,2023-01-08,2023-04-15 07:10:57,Watch
260,2023-01-15,2023-04-15 13:59:29,Watch
156,2023-01-05,2023-04-15 06:13:20,Monitor
368,2023-03-01,2023-04-15 13:54:04,Monitor
324,2023-02-17,2023-04-15 21:15:07,Monitor
717,2023-02-20,2023-04-15 12:21:47,Monitor
117,2023-03-04,2023-04-15 19:49:21,Speaker
776,2023-01-03,2023-04-15 06:05:13,Speaker
158,2023-01-22,2023-04-15 14:06:12,IoT Device
637,2023-03-01,2023-04-15 10:18:40,Watch
244,2023-01-25,2023-04-15 23:37:48,Watch
821,2023-03-08,2023-04-15 02:45:08,Monitor
522,2023-02-22,2023-04-15 17:10:13,IoT Device
401,2023-02-19,2023-04-15 04:26:43,Speaker
149,2023-02-23,2023-04-15 23:15:21,Speaker
658,2023-02-13,2023-04-15 07:13:18,IoT Device
553,2023-03-24,2023-04-15 18:43:52,Watch
885,2023-01-23,2023-04-15 18:32:11,Watch
932,2023-01-11,2023-04-15 12:34:03,IoT Device
631,2023-03-19,2023-04-15 08:32:34,IoT Device
565,2023-02-25,2023-04-15 02:06:40,Monitor
766,2023-02-28,2023-04-15 21:57:13,Watch
996,2023-01-17,2023-04-15 05:50:35,Speaker
725,2023-03-29,2023-04-15 17:58:35,Monitor
849,2023-02-27,2023-04-15 18:31:18,Watch
846,2023-03-03,2023-04-15 14:33:12,Monitor
755,2023-01-11,2023-04-15 01:27:51,Speaker
904,2023-01-13,2023-04-15 13:45:53,Watch
131,2023-03-02,2023-04-15 16:18:13,IoT Device
151,2023-03-09,2023-04-15 17:56:39,Watch
500,2023-03-15,2023-04-15 04:02:21,Monitor
157,2023-01-08,2023-04-15 08:47:00,Monitor
735,2023-03-24,2023-04-15 04:27:52,IoT Device
816,2023-02-17,2023-04-15 02:37:25,Monitor
12,2023-02-02,2023-04-15 17:42:29,Speaker
344,2023-01-14,2023-04-15 02:00:30,Watch
366,2023-03-20,2023-04-15 10:36:25,Speaker
811,2023-02-05,2023-04-15 16:33:31,IoT Device
148,2023-03-15,2023-04-15 17:16:33,Speaker
308,2023-02-16,2023-04-15 19:45:28,Monitor
390,2023-03-07,2023-04-15 03:57:47,Monitor
10,2023-02-14,2023-04-15 00:04:49,IoT Device
558,2023-03-15,2023-04-15 03:25:06,Watch
537,2023-03-27,2023-04-15 18:15:59,Monitor
706,2023-03-26,2023-04-15 22:55:44,Monitor
466,2023-01-24,2023-04-15 06:02:21,Watch
787,2023-03-14,2023-04-15 12:05:41,IoT Device
210,2023-01-25,2023-04-15 07:35:40,Speaker
603,2023-01-18,2023-04-15 07:51:33,Speaker
986,2023-03-28,2023-04-15 15:24:34,Speaker
852,2023-01-17,2023-04-15 16:29:30,Watch
442,2023-03-09,2023-04-15 19:04:58,Watch
760,2023-01-24,2023-04-15 23:05:07,IoT Device
881,2023-03-02,2023-04-15 20:19:29,Monitor
476,2023-03-12,2023-04-15 23:34:47,Monitor
238,2023-01-06,2023-04-15 01:40:55,Watch
807,2023-03-14,2023-04-15 11:35:57,IoT Device
357,2023-03-02,2023-04-15 02:38:54,Monitor
687,2023-02-15,2023-04-15 05:41:14,IoT Device
261,2023-01-11,2023-04-15 03:58:00,Watch
955,2023-03-18,2023-04-15 16:32:50,Speaker
81,2023-01-13,2023-04-15 17:58:18,IoT Device
28,2023-03-08,2023-04-15 08:08:01,IoT Device
791,2023-03-12,2023-04-15 15:03:27,Monitor
515,2023-03-04,2023-04-15 05:02:08,Monitor
915,2023-04-01,2023-04-15 16:04:41,Monitor
855,2023-03-31,2023-04-15 19:46:36,Watch
225,2023-01-22,2023-04-15 10:15:09,Speaker
245,2023-01-04,2023-04-15 21:45:40,Speaker
54,2023-02-25,2023-04-15 01:53:05,Monitor
54,2023-01-23,2023-04-15 00:01:47,Speaker
49,2023-02-22,2023-04-15 09:18:53,Monitor
21,2023-01-17,2023-04-15 06:05:09,IoT Device
479,2023-01-10,2023-04-15 02:17:03,Watch
1,2023-02-10,2023-04-15 02:14:36,Watch
919,2023-01-13,2023-04-15 16:57:44,Speaker
896,2023-02-03,2023-04-15 03:25:56,Speaker
524,2023-04-01,2023-04-15 22:46:23,Watch
527,2023-01-03,2023-04-15 03:15:38,IoT Device
74,2023-02-14,2023-04-15 05:18:49,Monitor
948,2023-02-12,2023-04-15 04:55:15,IoT Device
12,2023-03-23,2023-04-15 20:15:45,Watch
857,2023-02-18,2023-04-15 04:13:13,Watch
832,2023-02-18,2023-04-15 19:19:01,Monitor
745,2023-02-06,2023-04-15 12:05:29,Speaker
179,2023-03-08,2023-04-15 03:49:36,Watch
298,2023-02-22,2023-04-15 23:40:37,Watch
902,2023-02-09,2023-04-15 11:59:50,Monitor
987,2023-03-01,2023-04-15 08:31:33,Monitor
721,2023-04-01,2023-04-15 12:36:45,IoT Device
1,2023-02-04,2023-04-15 20:19:12,Speaker
983,2023-01-28,2023-04-15 15:34:56,Speaker
193,2023-03-28,2023-04-15 07:00:43,Watch
74,2023-01-24,2023-04-15 05:12:59,Watch
748,2023-01-21,2023-04-15 16:05:56,Speaker
986,2023-02-12,2023-04-15 22:44:48,IoT Device
809,2023-02-15,2023-04-15 21:19:50,Speaker
751,2023-02-18,2023-04-15 11:52:48,Monitor
367,2023-02-26,2023-04-15 15:38:32,Watch
371,2023-02-19,2023-04-15 15:53:32,IoT Device
134,2023-01-18,2023-04-15 14:11:42,IoT Device
599,2023-01-25,2023-04-15 20:12:57,Watch
800,2023-03-25,2023-04-15 14:36:47,IoT Device
372,2023-02-02,2023-04-15 03:58:47,Watch
243,2023-02-22,2023-04-15 09:22:20,Watch
934,2023-02-14,2023-04-15 21:17:06,Speaker
708,2023-02-03,2023-04-15 15:59:30,Watch
68,2023-02-13,2023-04-15 20:50:34,IoT Device
615,2023-01-31,2023-04-15 16:15:42,Monitor
436,2023-01-26,2023-04-15 14:03:31,Watch
510,2023-02-22,2023-04-15 00:54:47,Monitor
656,2023-02-12,2023-04-15 13:54:21,Watch
16,2023-01-08,2023-04-15 07:12:33,Monitor
587,2023-03-28,2023-04-15 12:04:44,IoT Device
297,2023-02-02,2023-04-15 13:01:03,Monitor
485,2023-01-04,2023-04-15 19:13:00,Watch
502,2023-03-11,2023-04-15 17:34:40,Speaker
195,2023-02-19,2023-04-15 16:53:36,IoT Device
781,2023-01-17,2023-04-15 07:03:21,IoT Device
230,2023-02-16,2023-04-15 06:30:52,Monitor
243,2023-03-25,2023-04-15 17:19:01,Monitor
436,2023-03-07,2023-04-15 23:08:13,Monitor
40,2023-02-14,2023-04-15 20:07:24,Watch
694,2023-01-24,2023-04-15 23:03:12,Watch
796,2023-02-05,2023-04-15 14:00:54,Speaker
245,2023-01-22,2023-04-15 15:29:38,Watch
703,2023-02-20,2023-04-15 07:11:41,IoT Device
59,2023-03-15,2023-04-15 00:22:39,Monitor
795,2023-02-18,2023-04-15 21:43:51,Speaker
982,2023-02-04,2023-04-15 17:30:32,IoT Device
12,2023-02-21,2023-04-15 15:58:54,Watch
361,2023-03-01,2023-04-15 19:57:31,Speaker
169,2023-01-23,2023-04-15 11:05:56,Monitor
757,2023-03-10,2023-04-15 01:10:45,IoT Device
447,2023-03-19,2023-04-15 11:22:30,Monitor
319,2023-02-07,2023-04-15 11:04:48,Speaker
562,2023-02-10,2023-04-15 05:47:59,IoT Device
147,2023-02-09,2023-04-15 15:09:08,Watch
873,2023-03-02,2023-04-15 10:18:12,Watch
302,2023-01-17,2023-04-15 14:31:01,Speaker
714,2023-02-03,2023-04-15 23:26:01,Speaker
177,2023-01-03,2023-04-15 03:42:32,IoT Device
