device_id,connection_date,connection_time
241,1/22/2023,22:00:41
350,1/30/2023,02:00:49
445,2/12/2023,11:57:43
133,1/26/2023,13:09:34
769,2/4/2023,14:43:10
134,3/10/2023,21:19:00
396,1/19/2023,03:28:11
454,3/13/2023,15:20:52
633,3/16/2023,16:36:02
916,1/21/2023,22:06:35
475,1/6/2023,18:24:35
927,2/3/2023,10:34:23
32,3/30/2023,05:35:03
536,1/8/2023,23:34:33
442,1/13/2023,19:04:07
953,4/1/2023,12:11:38
371,1/13/2023,02:22:41
668,2/2/2023,11:15:31
630,1/13/2023,17:02:11
482,3/12/2023,11:51:53
827,2/28/2023,01:24:14
888,4/1/2023,15:09:09
345,2/14/2023,20:53:36
451,1/21/2023,01:47:44
904,1/22/2023,06:10:07
571,1/8/2023,20:29:39
471,1/20/2023,08:54:56
401,1/7/2023,08:45:49
332,2/1/2023,02:29:08
180,2/12/2023,18:41:21
836,1/21/2023,09:59:22
969,2/15/2023,16:01:48
349,1/17/2023,10:33:59
307,3/18/2023,02:56:40
684,1/7/2023,04:29:21
114,3/23/2023,14:58:55
877,1/21/2023,17:22:13
648,1/22/2023,12:00:03
423,2/17/2023,03:20:30
89,1/3/2023,00:42:57
600,3/5/2023,06:41:21
843,1/8/2023,06:19:09
790,1/27/2023,20:55:36
675,3/3/2023,06:34:27
47,3/10/2023,15:01:17
842,1/1/2023,05:12:33
799,3/14/2023,00:06:24
451,2/13/2023,13:28:59
872,3/7/2023,17:36:11
735,1/21/2023,12:44:09
928,3/12/2023,14:20:03
2,3/4/2023,13:11:27
969,3/5/2023,20:01:19
715,3/23/2023,14:12:09
661,1/30/2023,11:26:29
793,3/31/2023,13:45:32
241,1/15/2023,13:14:11
367,3/1/2023,09:34:32
924,2/4/2023,23:37:59
740,3/2/2023,06:35:25
261,1/12/2023,20:55:07
889,3/27/2023,17:16:41
865,3/21/2023,11:53:47
328,1/7/2023,22:37:40
781,2/28/2023,13:53:03
96,2/24/2023,04:41:31
698,3/15/2023,03:10:26
165,1/19/2023,22:08:07
228,3/8/2023,14:42:50
903,1/9/2023,03:53:58
691,2/25/2023,01:41:52
823,2/22/2023,09:16:33
651,3/1/2023,17:18:37
923,3/2/2023,13:09:39
523,3/23/2023,12:34:59
210,3/28/2023,17:39:21
173,1/17/2023,09:07:41
663,1/11/2023,21:01:22
766,3/28/2023,05:06:41
255,2/18/2023,14:04:19
176,1/6/2023,09:55:29
86,1/1/2023,03:33:59
123,2/2/2023,13:01:04
518,2/26/2023,21:42:16
