call_id,call_date,call_time,length_seconds,status,sender_id,receiver_id
1,9/1/2020,6:33:53,599,Accepted,934,911
2,12/1/2021,11:22:55,482,Accepted,426,524
3,7/29/2020,14:39:05,212,Accepted,59,440
4,1/27/2020,9:58:13,733,Accepted,9,661
5,8/24/2021,2:47:36,741,Accepted,35,736
6,3/12/2022,0:22:58,583,Accepted,292,835
7,11/22/2020,22:41:45,713,Accepted,903,159
8,1/22/2022,22:28:45,27,Accepted,587,181
9,4/1/2023,8:01:12,151,Accepted,920,288
10,10/17/2021,18:57:57,119,Accepted,750,189
11,8/4/2021,20:29:26,385,Accepted,186,785
12,2/8/2020,16:42:51,225,Accepted,185,800
13,3/18/2022,17:12:48,376,Accepted,664,272
14,3/24/2021,7:14:26,713,Accepted,703,140
15,10/29/2021,16:44:50,885,Accepted,309,661
16,12/6/2022,3:55:27,70,Accepted,597,249
17,1/7/2022,18:52:58,973,Accepted,829,762
18,1/10/2023,6:17:06,853,Accepted,788,338
19,4/28/2021,22:23:02,344,Accepted,371,428
20,8/23/2022,10:16:46,42,Accepted,133,340
21,10/23/2022,8:22:04,489,Accepted,299,281
22,8/19/2021,6:56:48,284,Accepted,422,989
23,9/23/2022,21:29:34,306,Accepted,374,364
24,2/6/2021,23:46:02,887,Accepted,605,920
25,9/26/2020,13:22:58,773,Accepted,330,781
26,10/23/2020,18:14:01,664,Accepted,13,429
27,7/27/2022,15:30:49,171,Accepted,3,457
28,1/6/2023,2:05:07,629,Accepted,318,34
29,12/22/2022,16:23:10,671,Accepted,716,884
30,6/20/2020,17:42:30,776,Accepted,107,310
31,3/13/2021,15:17:55,528,Accepted,355,914
32,10/12/2020,3:11:13,86,Accepted,422,401
33,3/6/2020,20:22:32,78,Accepted,305,908
34,12/27/2021,14:48:51,500,Accepted,567,272
35,2/19/2023,7:47:52,115,Accepted,900,825
36,9/30/2022,8:14:25,350,Accepted,762,977
37,5/20/2020,21:14:14,852,Accepted,530,379
38,5/10/2022,9:22:51,825,Accepted,333,341
39,4/5/2021,7:22:53,311,Accepted,356,805
40,10/9/2022,18:01:48,260,Accepted,988,936
41,12/21/2021,12:16:00,946,Accepted,508,535
42,10/2/2020,9:33:29,482,Accepted,681,636
43,7/13/2020,11:11:21,731,Accepted,108,360
44,3/29/2021,10:30:20,615,Accepted,477,233
45,4/11/2021,19:35:43,414,Accepted,146,62
46,10/8/2020,16:16:33,701,Accepted,379,569
47,7/26/2020,10:12:04,213,Accepted,889,684
48,10/21/2022,7:42:23,827,Accepted,464,159
49,7/21/2020,5:10:46,612,Accepted,211,333
50,3/23/2023,10:41:21,797,Accepted,891,451
51,7/13/2022,13:54:58,494,Accepted,665,640
52,9/4/2022,19:18:08,34,Accepted,871,123
53,1/11/2022,22:30:57,156,Accepted,712,755
54,5/10/2022,22:27:39,271,Accepted,698,438
55,10/10/2020,22:14:04,750,Accepted,490,996
56,6/2/2020,14:06:31,882,Accepted,108,221
57,11/17/2022,11:57:26,618,Accepted,361,412
58,3/12/2020,16:40:15,575,Accepted,214,338
59,11/20/2022,7:28:14,740,Accepted,676,471
60,3/7/2021,15:57:21,98,Accepted,894,178
61,7/25/2022,6:15:17,858,Accepted,126,172
62,6/3/2021,8:27:49,668,Accepted,406,219
63,7/7/2020,17:54:04,685,Accepted,308,971
64,10/16/2021,5:34:34,847,Accepted,667,679
65,11/28/2020,3:48:08,769,Accepted,592,599
66,12/7/2020,5:15:37,941,Accepted,693,747
67,3/14/2021,0:13:21,460,Accepted,772,281
68,2/11/2021,8:51:02,13,Missed,385,512
69,10/14/2022,8:20:19,895,Accepted,734,105
70,2/14/2020,1:07:12,64,Accepted,348,63
71,3/26/2020,15:31:05,663,Accepted,652,302
72,3/12/2020,8:21:22,795,Accepted,606,697
73,1/10/2020,6:43:40,671,Accepted,269,858
74,1/24/2020,8:28:57,925,Accepted,135,313
75,5/10/2022,2:50:15,114,Accepted,585,54
76,10/6/2022,1:43:02,8,Rejected,384,271
77,1/7/2023,12:30:24,734,Accepted,673,965
78,1/3/2022,0:42:18,308,Accepted,788,813
79,1/23/2021,8:43:18,721,Accepted,836,937
80,1/31/2022,12:23:26,308,Accepted,994,958
81,2/28/2023,14:12:00,288,Accepted,785,637
82,10/14/2022,1:48:27,730,Accepted,910,252
83,5/27/2021,20:07:02,499,Accepted,65,928
84,11/4/2020,9:18:45,953,Accepted,35,33
85,10/13/2020,2:18:21,792,Accepted,494,819
86,7/18/2020,11:15:58,506,Accepted,904,272
87,5/8/2022,8:20:33,861,Accepted,457,277
88,2/16/2021,7:46:45,149,Accepted,471,962
89,10/20/2022,4:44:04,858,Accepted,140,581
90,2/22/2021,21:07:57,661,Accepted,293,887
91,8/21/2022,21:32:06,166,Accepted,51,820
92,9/21/2022,8:44:08,181,Accepted,377,649
93,2/6/2022,8:14:25,35,Accepted,336,404
94,3/25/2021,0:14:50,92,Accepted,652,232
95,9/2/2022,4:31:57,736,Accepted,788,181
96,11/18/2021,2:51:49,235,Accepted,762,941
97,11/27/2021,11:46:24,900,Accepted,139,374
98,5/21/2021,23:17:42,738,Accepted,805,685
99,7/15/2020,20:59:27,362,Accepted,194,483
100,7/21/2020,19:30:24,620,Accepted,91,813
101,11/8/2020,22:23:00,230,Accepted,64,398
102,11/21/2022,1:44:17,52,Accepted,419,377
103,9/6/2022,18:23:09,846,Accepted,50,825
104,1/31/2023,8:08:13,610,Accepted,167,107
105,9/20/2021,20:11:40,504,Accepted,620,110
106,12/1/2021,11:26:01,945,Accepted,678,115
107,12/13/2022,23:07:14,656,Accepted,577,884
108,1/21/2021,10:48:03,214,Accepted,378,485
109,7/2/2021,18:33:01,454,Accepted,663,125
110,10/7/2021,18:33:57,448,Accepted,70,231
111,2/5/2021,17:08:02,356,Accepted,738,305
112,8/22/2022,4:05:56,12,Missed,418,473
113,6/7/2021,0:34:08,939,Accepted,437,858
114,5/16/2021,12:07:49,604,Accepted,351,425
115,9/19/2021,14:00:42,960,Accepted,926,298
116,8/8/2021,20:10:18,467,Accepted,576,245
117,1/11/2023,11:07:38,46,Accepted,538,726
118,1/24/2021,5:41:38,129,Accepted,928,307
119,2/21/2020,7:36:10,139,Accepted,229,355
120,3/30/2023,23:48:03,885,Accepted,627,922
121,12/31/2021,22:07:33,266,Accepted,281,907
122,9/21/2021,20:53:44,583,Accepted,739,461
123,2/12/2020,21:26:55,794,Accepted,203,971
124,1/9/2020,12:44:04,199,Accepted,502,961
125,3/3/2020,8:57:14,226,Accepted,968,435
126,5/24/2021,16:05:08,919,Accepted,264,209
127,5/16/2022,18:49:29,603,Accepted,44,693
128,7/25/2020,13:40:46,861,Accepted,515,103
129,10/22/2020,3:06:38,814,Accepted,588,584
130,3/27/2020,8:54:21,48,Accepted,6,728
131,8/12/2021,18:11:59,455,Accepted,748,578
132,3/6/2023,3:40:09,801,Accepted,43,253
133,12/29/2022,18:32:47,714,Accepted,486,618
134,3/26/2023,10:26:38,538,Accepted,778,8
135,6/3/2022,2:04:57,87,Accepted,7,580
136,6/26/2020,15:29:35,413,Accepted,144,573
137,2/11/2020,19:11:26,391,Accepted,562,370
138,10/3/2021,22:47:21,834,Accepted,418,207
139,5/10/2022,17:34:13,759,Accepted,52,492
140,2/16/2022,6:08:35,384,Accepted,144,212
141,11/9/2020,8:36:59,95,Accepted,271,402
142,1/8/2020,21:36:13,957,Accepted,506,17
143,9/30/2022,16:45:21,156,Accepted,167,54
144,3/12/2022,2:15:39,463,Accepted,154,782
145,10/9/2021,18:53:41,71,Accepted,597,486
146,11/26/2021,21:03:24,548,Accepted,516,752
147,7/18/2020,22:37:55,409,Accepted,67,943
148,5/1/2022,14:30:18,605,Accepted,219,946
149,3/29/2021,7:28:27,11,Missed,921,804
150,4/3/2020,5:07:32,504,Accepted,28,623
151,6/27/2022,15:32:36,479,Accepted,802,599
152,7/21/2022,3:28:00,131,Accepted,179,595
153,12/20/2022,1:11:57,947,Accepted,618,101
154,9/6/2022,22:25:58,769,Accepted,377,113
155,3/25/2023,9:59:54,968,Accepted,997,599
156,9/12/2020,13:21:50,822,Accepted,734,848
157,2/20/2022,21:47:16,609,Accepted,943,220
158,2/6/2022,6:58:19,730,Accepted,280,293
159,10/27/2020,18:24:22,75,Accepted,852,844
160,9/15/2022,18:07:14,791,Accepted,615,105
161,12/30/2020,2:37:18,767,Accepted,871,256
162,1/14/2020,16:12:30,933,Accepted,583,637
163,12/18/2020,11:56:42,710,Accepted,713,335
164,4/16/2022,23:35:36,695,Accepted,668,258
165,6/3/2020,19:21:24,690,Accepted,729,199
166,1/30/2023,19:31:57,473,Accepted,280,427
167,7/31/2020,12:01:34,546,Accepted,481,649
168,10/19/2021,18:19:53,756,Accepted,94,598
169,6/3/2021,16:31:26,9,Rejected,598,535
170,5/17/2021,15:29:03,899,Accepted,646,856
171,1/17/2021,8:23:27,64,Accepted,875,424
172,4/9/2021,18:16:35,156,Accepted,960,577
173,4/30/2021,18:47:02,793,Accepted,12,181
174,8/7/2022,7:23:50,135,Accepted,363,33
175,11/11/2021,22:16:15,106,Accepted,250,304
176,6/23/2020,17:00:45,267,Accepted,419,108
177,4/27/2020,15:31:42,705,Accepted,535,138
178,6/10/2020,3:49:21,299,Accepted,381,137
179,10/9/2022,9:15:58,980,Accepted,359,272
180,12/26/2022,12:16:56,766,Accepted,822,349
181,3/2/2020,3:05:24,264,Accepted,963,972
182,12/9/2022,1:05:10,576,Accepted,745,35
183,2/26/2021,19:39:42,504,Accepted,828,841
184,8/11/2020,21:16:44,867,Accepted,186,55
185,10/6/2021,8:52:20,501,Accepted,749,997
186,10/30/2022,12:53:06,619,Accepted,521,355
187,1/2/2022,16:16:47,257,Accepted,265,196
188,7/10/2020,3:51:04,869,Accepted,864,983
189,6/3/2022,19:10:00,484,Accepted,434,362
190,4/24/2021,21:32:10,296,Accepted,967,633
191,6/4/2021,15:25:48,100,Accepted,945,406
192,2/2/2021,15:03:45,409,Accepted,685,208
193,6/1/2020,12:47:41,120,Accepted,845,220
194,2/19/2021,8:56:23,582,Accepted,910,926
195,1/15/2020,17:17:56,442,Accepted,290,463
196,12/9/2021,9:29:17,429,Accepted,639,209
197,8/7/2020,7:50:06,393,Accepted,295,647
198,5/11/2022,14:00:33,219,Accepted,406,318
199,4/26/2020,21:29:36,837,Accepted,728,125
200,9/7/2021,10:52:01,19,Missed,736,590
201,3/2/2021,10:22:10,909,Accepted,351,537
202,9/2/2020,0:59:15,65,Accepted,177,887
203,1/2/2021,14:15:04,962,Accepted,238,576
204,1/17/2023,2:16:10,603,Accepted,114,980
205,4/24/2021,21:28:50,19,Missed,189,908
206,4/25/2021,6:38:31,575,Accepted,319,562
207,4/29/2021,6:24:02,175,Accepted,979,100
208,5/22/2021,19:41:25,865,Accepted,236,130
209,12/28/2021,17:18:02,886,Accepted,839,962
210,4/6/2021,20:06:04,154,Accepted,757,603
211,3/23/2020,16:22:40,782,Accepted,760,240
212,10/12/2022,8:47:35,919,Accepted,989,346
213,5/31/2020,14:21:26,905,Accepted,781,250
214,6/8/2021,0:00:52,815,Accepted,561,787
215,7/9/2021,17:24:06,386,Accepted,759,672
216,12/19/2022,13:06:49,403,Accepted,976,280
217,2/13/2023,12:08:05,979,Accepted,627,137
218,9/22/2020,8:19:23,521,Accepted,609,498
219,8/29/2020,14:28:13,553,Accepted,344,245
220,3/23/2023,12:29:22,459,Accepted,675,833
221,4/10/2022,0:25:53,605,Accepted,201,639
222,4/7/2022,10:15:50,414,Accepted,192,647
223,3/12/2023,22:13:21,920,Accepted,215,668
224,3/20/2023,16:12:55,526,Accepted,26,193
225,8/16/2022,20:17:51,701,Accepted,943,738
226,8/6/2022,23:26:24,852,Accepted,282,839
227,4/23/2020,12:34:48,782,Accepted,123,645
228,5/24/2020,20:13:22,287,Accepted,686,24
229,7/3/2022,15:50:31,526,Accepted,680,933
230,3/19/2023,2:54:54,744,Accepted,135,211
231,1/2/2023,13:11:47,110,Accepted,240,480
232,1/7/2023,17:11:07,309,Accepted,239,511
233,9/12/2022,8:15:23,523,Accepted,356,304
234,4/24/2020,10:44:30,630,Accepted,844,318
235,9/6/2021,6:41:15,849,Accepted,699,578
236,9/2/2022,12:08:01,213,Accepted,548,739
237,7/2/2022,20:42:11,225,Accepted,217,724
238,9/2/2021,1:13:18,704,Accepted,707,526
239,3/12/2021,13:26:42,693,Accepted,900,684
240,12/15/2022,10:52:42,358,Accepted,851,772
241,6/7/2021,18:30:18,282,Accepted,566,535
242,12/26/2020,0:00:22,699,Accepted,921,243
243,1/19/2023,23:50:40,283,Accepted,526,548
244,4/12/2022,21:56:59,42,Accepted,602,517
245,5/16/2020,22:47:45,53,Accepted,336,289
246,1/9/2023,14:16:12,201,Accepted,799,567
247,12/17/2020,7:09:50,108,Accepted,305,129
248,3/12/2021,2:23:45,936,Accepted,583,891
249,1/16/2021,11:40:19,229,Accepted,341,199
250,9/23/2020,14:37:21,459,Accepted,459,609
251,10/22/2020,9:32:33,968,Accepted,865,119
252,9/24/2020,11:14:23,242,Accepted,414,461
253,5/9/2022,7:45:31,602,Accepted,242,332
254,1/4/2023,20:24:45,557,Accepted,782,998
255,4/25/2020,22:53:08,972,Accepted,615,375
256,11/1/2020,2:10:49,980,Accepted,711,896
257,11/8/2021,15:42:34,694,Accepted,68,553
258,12/10/2022,21:46:09,979,Accepted,843,836
259,8/11/2020,14:56:42,115,Accepted,515,246
260,4/15/2022,14:29:14,85,Accepted,208,541
261,12/24/2020,7:51:03,614,Accepted,705,105
262,12/28/2021,13:49:18,564,Accepted,625,673
263,1/1/2021,10:33:20,375,Accepted,893,834
264,5/15/2020,16:44:05,925,Accepted,845,94
265,10/10/2020,2:17:17,675,Accepted,997,220
266,8/8/2021,0:18:10,117,Accepted,787,630
267,2/29/2020,6:20:58,426,Accepted,662,76
268,3/3/2020,19:30:46,646,Accepted,785,65
269,5/19/2022,17:49:27,578,Accepted,317,24
270,1/31/2020,4:21:17,66,Accepted,261,953
271,2/23/2020,21:14:29,148,Accepted,797,206
272,1/13/2023,13:37:33,1000,Accepted,65,937
273,5/5/2020,15:44:28,875,Accepted,494,582
274,5/7/2020,17:15:32,816,Accepted,830,917
275,12/13/2021,22:24:24,684,Accepted,176,710
276,2/25/2023,9:15:02,284,Accepted,54,208
277,7/1/2020,12:53:19,921,Accepted,193,19
278,11/30/2022,22:56:03,184,Accepted,348,24
279,10/31/2021,23:01:37,558,Accepted,541,867
280,3/19/2023,11:54:52,118,Accepted,693,564
281,11/17/2021,10:09:29,509,Accepted,402,77
282,7/5/2020,14:49:10,706,Accepted,143,794
283,10/21/2020,12:33:30,685,Accepted,681,111
284,5/12/2020,0:03:37,679,Accepted,770,632
285,9/28/2021,9:56:24,590,Accepted,747,291
286,3/23/2022,19:52:35,864,Accepted,548,506
287,6/5/2021,14:01:58,208,Accepted,822,239
288,7/3/2022,17:04:28,747,Accepted,924,757
289,7/3/2020,11:56:29,566,Accepted,903,497
290,3/26/2021,0:16:23,312,Accepted,486,489
291,12/28/2020,20:01:47,700,Accepted,374,627
292,9/25/2022,4:39:33,951,Accepted,741,59
293,7/5/2022,11:19:48,968,Accepted,240,633
294,10/17/2022,0:48:26,548,Accepted,288,183
295,10/17/2021,8:07:49,610,Accepted,126,936
296,6/29/2020,19:34:41,646,Accepted,83,910
297,3/30/2020,12:30:50,983,Accepted,866,118
298,1/14/2021,12:06:04,49,Accepted,592,60
299,4/16/2022,10:22:37,346,Accepted,165,174
300,7/26/2021,15:46:43,539,Accepted,335,260
301,7/20/2020,9:19:36,154,Accepted,638,883
302,7/27/2020,7:35:41,417,Accepted,253,27
303,11/29/2020,10:42:21,399,Accepted,290,41
304,3/30/2020,8:32:18,201,Accepted,698,908
305,5/17/2020,18:50:23,371,Accepted,68,23
306,11/26/2022,5:52:56,799,Accepted,200,104
307,9/23/2021,5:23:57,195,Accepted,93,568
308,6/16/2020,10:24:08,219,Accepted,943,249
309,1/5/2021,17:38:07,353,Accepted,523,928
310,8/17/2020,14:48:07,402,Accepted,976,826
311,5/5/2021,22:53:10,94,Accepted,447,513
312,9/29/2020,1:07:01,803,Accepted,738,974
313,12/25/2021,12:05:41,241,Accepted,89,60
314,9/15/2020,20:26:36,94,Accepted,153,477
315,6/14/2020,21:16:16,863,Accepted,467,39
316,2/1/2023,18:17:06,804,Accepted,253,793
317,10/28/2021,15:17:08,835,Accepted,508,281
318,12/27/2020,5:18:03,603,Accepted,684,551
319,5/2/2021,8:11:12,400,Accepted,401,452
320,10/29/2020,7:25:48,663,Accepted,944,524
321,7/27/2021,2:18:09,1000,Accepted,131,349
322,10/3/2020,15:16:52,228,Accepted,978,434
323,7/22/2022,19:42:40,709,Accepted,955,661
324,1/2/2020,8:40:24,203,Accepted,84,279
325,12/16/2020,17:52:16,798,Accepted,490,910
326,8/3/2022,17:08:39,383,Accepted,301,870
327,12/3/2022,20:00:00,8,Rejected,106,98
328,10/16/2020,17:52:36,452,Accepted,846,343
329,8/1/2020,19:54:10,301,Accepted,204,71
330,9/6/2022,21:11:38,942,Accepted,240,360
331,3/14/2022,8:41:08,758,Accepted,786,425
332,9/16/2020,11:22:39,123,Accepted,298,324
333,3/31/2021,20:35:41,494,Accepted,451,230
