device_id,gps_date,gps_time,latitude,longitude,latitude_direction,longitude_direction
36,2023-01-14,09:20:08,75,99,North,West
951,2023-03-30,12:16:37,27,-39,North,East
219,2023-03-31,05:58:41,-58,85,South,West
682,2023-03-28,03:15:08,88,177,North,West
343,2023-03-09,15:14:33,-44,160,South,West
65,2023-02-07,19:19:41,12,-79,North,East
35,2023-01-14,12:53:52,-24,-102,South,East
396,2023-01-12,10:03:49,-66,165,South,West
167,2023-03-02,07:18:48,42,166,North,West
380,2023-01-27,13:40:37,4,169,North,West
784,2023-03-22,10:54:19,-11,-55,South,East
769,2023-03-06,05:39:32,-73,11,South,West
334,2023-01-24,23:49:16,-48,-158,South,East
228,2023-02-05,07:52:54,-6,-64,South,East
358,2023-03-09,06:03:57,-36,146,South,West
954,2023-03-05,03:39:49,54,-45,North,East
412,2023-03-03,17:28:57,-84,-11,South,East
617,2023-02-01,03:00:50,56,117,North,West
223,2023-03-11,17:09:18,-25,-128,South,East
23,2023-04-01,13:16:43,-39,-85,South,East
62,2023-02-12,01:34:11,-72,127,South,West
283,2023-03-23,16:19:20,-11,-42,South,East
932,2023-01-30,13:07:12,-83,-20,South,East
721,2023-03-28,00:07:05,80,69,North,West
877,2023-02-11,00:54:30,28,116,North,West
746,2023-01-13,19:54:10,32,-10,North,East
711,2023-01-01,19:48:43,-54,179,South,West
25,2023-01-13,15:22:26,-71,-11,South,East
503,2023-01-20,16:43:04,-78,-69,South,East
327,2023-02-11,04:17:31,21,166,North,West
782,2023-02-01,17:20:58,88,54,North,West
288,2023-02-25,08:51:04,55,-14,North,East
101,2023-02-24,07:11:05,-59,-89,South,East
720,2023-01-13,00:29:03,-35,-93,South,East
122,2023-02-28,09:05:02,-60,165,South,West
390,2023-02-04,15:52:09,-71,94,South,West
597,2023-01-10,07:30:57,-43,134,South,West
382,2023-02-26,10:31:02,-30,-35,South,East
721,2023-03-12,04:12:35,-33,34,South,West
493,2023-01-06,14:33:56,-3,-174,South,East
177,2023-01-14,05:40:25,31,-174,North,East
679,2023-02-22,20:41:11,-44,-38,South,East
815,2023-02-01,03:42:10,81,-81,North,East
638,2023-01-01,08:25:39,-90,-91,South,East
971,2023-01-02,12:51:44,-79,55,South,West
722,2023-01-21,04:12:32,-39,158,South,West
986,2023-03-18,16:48:23,14,-103,North,East
895,2023-02-11,05:55:29,88,34,North,West
703,2023-02-18,09:51:59,-2,-11,South,East
682,2023-02-07,18:55:19,-58,5,South,West
535,2023-01-13,01:27:19,-64,57,South,West
622,2023-02-02,15:32:45,7,155,North,West
728,2023-01-31,08:02:11,57,13,North,West
305,2023-03-08,10:56:48,58,-77,North,East
456,2023-02-09,03:39:33,34,25,North,West
38,2023-01-02,14:19:05,18,14,North,West
979,2023-02-03,14:19:58,-44,30,South,West
705,2023-01-27,11:31:09,-58,34,South,West
878,2023-02-05,04:55:48,-41,113,South,West
622,2023-02-04,04:17:12,50,-135,North,East
821,2023-03-27,14:50:45,84,-50,North,East
620,2023-02-25,09:04:15,19,9,North,West
284,2023-03-27,19:00:06,40,-165,North,East
471,2023-03-16,14:52:59,-13,-113,South,East
728,2023-03-31,18:00:40,-19,167,South,West
267,2023-02-23,06:24:35,-49,-44,South,East
649,2023-03-17,08:31:10,21,83,North,West
109,2023-02-04,01:15:33,67,86,North,West
676,2023-01-07,00:37:15,-13,-93,South,East
690,2023-03-13,17:41:41,57,-6,North,East
310,2023-03-11,08:51:55,82,-18,North,East
896,2023-01-16,09:59:59,-36,40,South,West
695,2023-02-12,13:38:53,55,-3,North,East
268,2023-03-22,14:53:50,-52,3,South,West
716,2023-04-01,04:29:37,-66,-57,South,East
141,2023-04-01,02:29:14,-57,-85,South,East
593,2023-02-14,21:27:37,-5,171,South,West
480,2023-02-22,13:27:29,-56,159,South,West
425,2023-02-16,22:24:54,-29,39,South,West
865,2023-02-18,04:50:02,-10,148,South,West
953,2023-03-28,14:34:35,36,51,North,West
823,2023-01-31,08:21:51,62,38,North,West
443,2023-01-19,16:48:12,-49,120,South,West
24,2023-01-12,14:35:16,76,157,North,West
954,2023-01-16,18:27:34,-14,74,South,West
192,2023-01-06,14:08:45,-75,4,South,West
358,2023-03-22,21:26:05,-14,-149,South,East
423,2023-01-07,15:43:57,38,-64,North,East
23,2023-03-11,14:18:52,-63,35,South,West
796,2023-02-22,17:16:32,45,31,North,West
76,2023-03-14,06:16:18,-39,90,South,West
294,2023-02-05,11:37:52,-1,129,South,West
674,2023-01-27,04:01:44,-83,152,South,West
919,2023-02-06,16:49:47,20,-26,North,East
345,2023-03-05,21:33:41,50,103,North,West
554,2023-03-26,19:39:11,-61,69,South,West
382,2023-03-06,20:52:57,34,43,North,West
191,2023-01-17,06:00:15,-61,8,South,West
886,2023-01-31,14:54:32,72,139,North,West
284,2023-04-01,02:21:40,-54,176,South,West
966,2023-01-10,05:25:57,26,-100,North,East
316,2023-03-11,13:37:11,-16,119,South,West
531,2023-03-02,09:27:51,84,124,North,West
677,2023-02-16,13:38:15,61,-94,North,East
307,2023-03-23,05:42:04,-9,-144,South,East
582,2023-01-24,14:12:38,-3,-50,South,East
769,2023-01-30,10:58:36,-33,160,South,West
238,2023-02-08,19:13:32,19,37,North,West
187,2023-03-05,07:29:38,-35,-149,South,East
76,2023-02-06,12:38:58,7,9,North,West
753,2023-01-20,23:38:03,-73,-178,South,East
789,2023-03-16,22:37:26,28,-131,North,East
659,2023-01-20,07:02:14,-41,-166,South,East
231,2023-01-31,16:17:24,-8,-83,South,East
56,2023-03-11,12:39:29,23,42,North,West
345,2023-02-24,01:42:29,51,-47,North,East
145,2023-02-19,17:03:34,-1,75,South,West
897,2023-04-01,11:37:55,-26,81,South,West
827,2023-03-18,12:31:47,-87,69,South,West
294,2023-02-04,12:59:23,15,-102,North,East
73,2023-01-09,20:14:35,33,85,North,West
759,2023-03-04,03:17:53,-45,9,South,West
230,2023-03-18,14:34:26,76,-125,North,East
562,2023-01-24,20:16:39,-55,-3,South,East
745,2023-03-23,19:21:56,90,-24,North,East
853,2023-03-31,15:02:13,29,43,North,West
796,2023-01-19,08:36:24,57,-114,North,East
689,2023-01-11,15:10:29,29,-147,North,East
151,2023-01-07,16:56:29,33,58,North,West
373,2023-02-05,08:26:13,56,-63,North,East
81,2023-03-26,00:38:32,81,-63,North,East
866,2023-03-13,20:16:42,84,-18,North,East
188,2023-01-15,18:17:30,-1,56,South,West
997,2023-02-19,06:41:45,2,0,North,West
173,2023-03-07,09:59:27,-80,117,South,West
997,2023-01-20,14:39:53,-78,-61,South,East
732,2023-01-14,05:44:20,-20,73,South,West
205,2023-02-13,01:59:39,-87,-16,South,East
409,2023-03-16,12:01:56,-84,29,South,West
246,2023-04-01,15:28:24,45,-110,North,East
442,2023-01-02,12:13:10,-78,8,South,West
701,2023-03-12,21:47:37,58,-136,North,East
762,2023-01-07,10:06:03,22,44,North,West
55,2023-02-22,00:14:38,-40,-115,South,East
965,2023-02-25,16:42:19,-77,7,South,West
850,2023-03-06,07:38:50,-84,176,South,West
704,2023-02-08,14:41:11,-3,21,South,West
653,2023-02-07,15:19:00,-54,-18,South,East
782,2023-01-10,18:49:24,35,174,North,West
439,2023-02-15,17:57:02,37,158,North,West
384,2023-03-03,01:45:38,-88,89,South,West
787,2023-03-15,08:38:19,-78,-25,South,East
864,2023-02-11,18:19:40,25,161,North,West
431,2023-01-07,10:41:57,20,-116,North,East
498,2023-03-15,07:29:50,-23,-127,South,East
233,2023-01-19,01:37:09,-56,1,South,West
197,2023-02-06,15:19:52,-68,60,South,West
706,2023-02-15,15:31:02,-59,-131,South,East
184,2023-03-22,13:50:47,38,88,North,West
817,2023-02-08,10:10:38,-62,-52,South,East
591,2023-01-04,21:12:45,45,-23,North,East
334,2023-01-22,01:39:41,-54,-138,South,East
148,2023-02-26,04:36:43,43,-94,North,East
711,2023-03-17,16:36:11,-18,-64,South,East
213,2023-02-12,08:25:54,19,31,North,West
784,2023-02-01,11:09:05,-82,-67,South,East
533,2023-02-03,12:09:45,-10,23,South,West
55,2023-03-11,01:52:57,68,119,North,West
926,2023-01-01,22:07:16,68,-173,North,East
831,2023-02-19,23:24:49,59,73,North,West
15,2023-03-08,21:11:10,58,19,North,West
813,2023-01-11,11:42:22,-66,-97,South,East
942,2023-02-22,22:51:28,-38,-119,South,East
930,2023-03-19,19:01:52,-21,-110,South,East
857,2023-03-21,15:33:10,-80,-33,South,East
769,2023-03-24,15:18:22,17,-93,North,East
510,2023-03-14,03:11:38,61,-56,North,East
581,2023-01-30,19:14:20,-66,-77,South,East
148,2023-02-09,18:01:15,-78,113,South,West
642,2023-02-02,08:09:11,71,111,North,West
608,2023-03-16,11:45:43,-41,-61,South,East
553,2023-04-01,01:56:25,64,119,North,West
427,2023-02-17,10:15:41,-46,92,South,West
688,2023-01-29,19:10:32,55,-41,North,East
103,2023-01-26,12:11:03,28,144,North,West
963,2023-01-12,03:41:25,-72,-95,South,East
497,2023-02-19,14:15:31,78,68,North,West
648,2023-02-04,09:27:35,34,-91,North,East
881,2023-02-08,15:26:19,-33,154,South,West
505,2023-02-04,08:48:38,-63,-57,South,East
81,2023-02-15,01:28:18,-67,-21,South,East
862,2023-01-14,14:35:51,41,-168,North,East
992,2023-01-15,23:34:18,-16,34,South,West
148,2023-02-08,13:30:59,-70,-164,South,East
492,2023-02-18,12:17:20,10,-11,North,East
538,2023-03-04,07:29:29,-12,112,South,West
544,2023-01-12,14:06:46,-74,-21,South,East
172,2023-02-20,05:46:26,32,47,North,West
779,2023-02-06,16:43:05,-42,-23,South,East
578,2023-04-01,19:51:23,8,-86,North,East
272,2023-01-21,15:46:57,41,68,North,West
882,2023-01-17,00:11:44,4,97,North,West
924,2023-03-17,04:10:00,36,-144,North,East
153,2023-03-12,03:29:04,-69,-138,South,East
887,2023-01-30,05:12:40,2,-122,North,East
