device_id,lock_date,lock_time,locked
585,2023-01-26,10:40:16,1
862,2023-03-23,00:12:49,1
227,2023-03-03,19:51:42,1
406,2023-02-18,17:27:54,0
290,2023-03-19,10:25:01,0
617,2023-02-05,08:11:33,1
63,2023-01-20,13:43:03,0
696,2023-01-12,23:52:50,1
722,2023-01-02,08:11:14,1
540,2023-01-22,17:48:25,0
908,2023-03-31,19:07:49,1
614,2023-02-14,02:01:31,1
341,2023-03-30,02:58:35,0
10,2023-01-28,01:18:41,0
234,2023-03-04,20:27:09,0
681,2023-03-24,04:10:46,1
865,2023-03-07,07:38:48,1
796,2023-03-01,11:55:55,1
267,2023-02-27,03:57:37,1
456,2023-01-04,21:48:02,0
281,2023-02-02,07:32:15,0
731,2023-02-03,20:44:24,0
830,2023-01-17,00:05:23,0
14,2023-03-30,10:45:30,1
386,2023-01-03,18:27:50,1
501,2023-01-27,17:53:03,1
929,2023-01-22,00:00:35,1
348,2023-03-01,20:37:08,0
406,2023-03-31,21:59:25,0
512,2023-02-19,14:12:05,1
732,2023-03-04,19:34:34,1
816,2023-03-03,16:21:40,0
626,2023-02-28,22:38:48,0
310,2023-02-23,16:09:10,1
668,2023-02-26,10:08:13,1
73,2023-03-06,14:49:46,0
316,2023-01-04,17:27:49,1
309,2023-02-17,16:48:27,0
426,2023-02-19,07:20:28,1
924,2023-02-18,19:09:38,1
105,2023-01-09,08:11:20,1
630,2023-03-31,12:46:53,1
209,2023-02-26,23:43:59,0
167,2023-01-30,07:15:35,1
223,2023-03-16,06:34:40,0
653,2023-03-17,17:58:41,1
286,2023-03-07,09:58:48,0
257,2023-02-09,23:26:21,1
55,2023-04-01,19:32:09,1
207,2023-03-05,00:44:30,0
956,2023-02-16,16:46:43,0
252,2023-01-07,16:13:44,1
275,2023-03-28,11:28:26,1
854,2023-01-30,13:31:01,1
801,2023-01-23,06:18:47,1
161,2023-01-07,07:51:30,1
256,2023-03-04,13:48:19,0
937,2023-03-31,09:42:22,0
341,2023-02-07,01:03:38,0
857,2023-01-05,12:34:08,1
115,2023-01-14,17:22:22,0
658,2023-03-03,11:11:58,1
666,2023-01-04,13:54:57,0
294,2023-02-21,06:59:51,1
518,2023-02-23,00:52:32,1
976,2023-03-26,05:34:00,0
949,2023-02-27,09:27:59,0
993,2023-02-10,18:47:39,0
349,2023-03-07,03:00:35,1
21,2023-03-15,07:40:34,1
294,2023-02-12,01:16:29,0
248,2023-01-01,08:55:24,1
235,2023-01-27,17:23:18,0
479,2023-01-09,00:10:03,0
735,2023-01-20,16:48:51,0
198,2023-02-13,15:50:45,1
156,2023-01-05,18:42:39,0
404,2023-02-22,22:19:04,1
451,2023-01-26,18:53:30,0
116,2023-01-29,07:04:54,1
86,2023-03-05,01:49:43,1
336,2023-01-03,23:30:12,0
159,2023-04-01,00:24:08,1
399,2023-03-29,21:16:34,1
335,2023-03-09,11:47:19,0
720,2023-01-02,17:10:11,0
107,2023-01-24,08:33:15,1
654,2023-01-17,11:33:29,0
3,2023-01-04,10:05:40,1
256,2023-03-28,08:18:56,1
596,2023-02-08,19:23:29,0
25,2023-03-24,23:45:42,0
209,2023-01-03,02:56:32,0
525,2023-02-27,08:40:10,0
180,2023-01-22,06:59:11,0
710,2023-01-26,20:59:01,1
57,2023-02-02,17:23:17,1
906,2023-03-06,03:10:37,1
975,2023-01-22,07:40:08,0
785,2023-03-12,01:33:56,0
237,2023-01-02,05:57:14,1
311,2023-03-03,05:50:19,0
748,2023-02-27,22:23:53,0
390,2023-03-19,14:40:08,0
65,2023-02-24,04:24:52,1
742,2023-02-17,02:32:21,1
624,2023-02-04,20:45:45,0
992,2023-02-16,14:55:00,1
627,2023-01-06,03:25:39,0
756,2023-03-18,15:05:37,0
18,2023-02-24,05:24:13,0
666,2023-03-15,13:53:00,0
697,2023-01-29,11:31:35,1
989,2023-02-28,00:33:08,0
376,2023-03-01,15:16:30,1
59,2023-03-27,00:38:57,0
436,2023-03-08,04:08:56,1
598,2023-03-21,09:06:21,0
744,2023-02-03,15:05:46,1
9,2023-03-11,10:50:58,0
173,2023-01-08,19:33:38,1
488,2023-01-28,06:23:00,1
779,2023-03-02,00:47:32,0
401,2023-03-11,13:09:32,0
857,2023-03-16,17:34:03,1
164,2023-02-14,16:04:44,0
119,2023-02-09,21:04:03,0
409,2023-03-28,00:31:07,1
433,2023-01-10,09:27:43,0
135,2023-02-28,15:51:26,0
353,2023-01-27,03:40:20,1
609,2023-01-16,12:16:51,1
167,2023-01-16,18:34:24,1
