device_id,login_date,login_time,attempt_number,successful,login_method
781,2023-03-18,08:56:01,1,1,PIN
209,2023-03-31,13:36:09,4,1,PIN
870,2023-03-02,09:04:29,2,1,Password
980,2023-03-23,21:14:37,1,0,Facial Recognition
864,2023-02-22,22:45:12,1,0,Fingerprint
237,2023-01-26,01:21:19,2,1,Facial Recognition
655,2023-03-15,01:51:11,2,0,Facial Recognition
141,2023-01-18,14:06:35,4,1,PIN
638,2023-02-28,23:59:46,1,1,Fingerprint
528,2023-01-06,05:28:49,4,0,PIN
626,2023-01-15,11:05:27,1,1,PIN
384,2023-03-09,17:56:43,3,1,Password
422,2023-02-11,06:53:06,2,0,PIN
732,2023-03-16,23:12:35,4,0,Facial Recognition
36,2023-01-27,15:51:51,1,0,Password
145,2023-01-25,13:26:30,2,0,Facial Recognition
122,2023-01-25,10:36:50,2,0,PIN
992,2023-03-29,12:20:24,3,1,Facial Recognition
762,2023-03-22,17:22:44,2,0,Facial Recognition
250,2023-01-22,21:44:25,1,1,Fingerprint
539,2023-01-20,06:44:52,4,0,PIN
742,2023-01-01,22:47:09,2,1,PIN
175,2023-01-22,05:39:38,3,1,Fingerprint
947,2023-03-03,17:35:23,1,1,Password
63,2023-02-03,08:12:21,3,0,PIN
80,2023-01-01,17:49:39,4,1,Facial Recognition
768,2023-03-02,01:20:54,2,1,Facial Recognition
214,2023-03-16,00:23:19,1,1,Password
791,2023-02-03,22:01:07,3,1,Password
645,2023-02-11,00:36:55,4,1,PIN
126,2023-02-28,18:59:23,1,1,PIN
183,2023-01-04,04:55:55,1,1,Facial Recognition
582,2023-03-30,18:29:39,1,1,PIN
499,2023-03-16,22:52:22,1,0,Facial Recognition
767,2023-02-05,02:30:33,1,1,Fingerprint
629,2023-02-04,13:05:48,3,1,Fingerprint
82,2023-02-25,04:00:28,1,1,Fingerprint
205,2023-02-17,17:17:34,2,0,Fingerprint
961,2023-01-14,19:04:33,3,0,Fingerprint
780,2023-03-06,06:26:24,1,0,PIN
605,2023-01-01,03:04:33,1,0,Fingerprint
415,2023-01-26,06:57:48,4,1,Fingerprint
533,2023-02-13,21:05:02,4,0,Fingerprint
195,2023-01-12,17:36:59,3,0,PIN
444,2023-03-28,13:54:15,3,1,Password
464,2023-03-14,12:39:20,4,1,PIN
124,2023-01-20,17:21:49,3,1,Fingerprint
722,2023-01-11,04:30:32,1,1,Facial Recognition
49,2023-03-08,09:48:21,3,1,PIN
387,2023-01-19,04:44:50,3,1,Facial Recognition
251,2023-01-20,04:38:27,4,0,Password
440,2023-01-07,17:15:55,2,1,Password
393,2023-03-17,18:38:31,3,1,Facial Recognition
365,2023-01-01,00:07:19,3,0,Fingerprint
924,2023-02-21,16:07:06,3,1,Facial Recognition
563,2023-01-01,22:41:34,2,1,PIN
207,2023-03-27,19:01:08,4,1,Facial Recognition
314,2023-03-02,22:28:16,2,0,Facial Recognition
721,2023-02-15,08:19:24,2,0,Fingerprint
448,2023-01-25,16:27:58,2,1,Facial Recognition
522,2023-02-11,05:20:34,1,0,Facial Recognition
512,2023-03-05,20:11:27,3,0,Fingerprint
899,2023-03-29,09:38:25,1,0,Fingerprint
336,2023-01-30,17:44:46,2,1,Facial Recognition
211,2023-02-19,17:14:42,3,1,Password
625,2023-02-13,09:34:46,3,1,Fingerprint
693,2023-01-15,09:49:51,2,0,Fingerprint
432,2023-03-13,02:49:58,3,1,Facial Recognition
651,2023-02-27,02:01:39,4,1,Fingerprint
709,2023-03-13,12:49:12,2,0,Fingerprint
841,2023-01-31,06:57:39,2,0,Password
645,2023-02-07,18:54:45,4,0,PIN
472,2023-01-04,15:11:01,2,0,Facial Recognition
764,2023-01-04,22:03:36,3,1,Facial Recognition
845,2023-03-01,17:48:32,2,0,Fingerprint
346,2023-02-23,09:22:18,3,1,Fingerprint
788,2023-01-21,01:51:52,4,0,Facial Recognition
189,2023-01-07,21:17:09,1,1,PIN
687,2023-03-25,20:57:47,1,0,Password
488,2023-02-25,16:23:37,1,0,Fingerprint
371,2023-03-04,04:21:08,3,0,Password
415,2023-02-05,03:30:51,2,1,Facial Recognition
172,2023-01-14,07:39:17,4,1,PIN
703,2023-02-28,17:33:59,4,1,Password
683,2023-03-31,05:14:24,2,0,Password
563,2023-02-23,06:21:31,4,0,Fingerprint
968,2023-03-16,10:37:00,3,1,Fingerprint
497,2023-01-31,15:04:48,4,0,PIN
759,2023-03-31,23:10:10,2,1,Password
816,2023-03-10,02:58:56,4,0,PIN
453,2023-02-15,09:24:17,2,0,Password
187,2023-03-09,08:05:08,1,0,PIN
839,2023-02-20,21:37:15,2,1,Facial Recognition
209,2023-02-28,09:38:02,3,0,Password
510,2023-01-31,17:06:27,2,0,Password
557,2023-01-23,20:33:18,2,0,Facial Recognition
597,2023-01-13,15:46:42,1,0,Password
851,2023-02-18,15:58:52,1,0,PIN
345,2023-01-08,01:02:24,3,1,Facial Recognition
764,2023-01-03,09:13:03,1,1,Facial Recognition
375,2023-02-19,03:57:20,1,0,PIN
691,2023-01-18,02:44:28,1,1,Password
570,2023-02-01,21:21:00,4,1,Facial Recognition
760,2023-03-25,20:00:40,2,1,PIN
433,2023-03-20,01:30:10,1,0,Fingerprint
746,2023-02-18,02:30:50,4,1,Facial Recognition
568,2023-01-08,00:23:13,4,0,Facial Recognition
954,2023-01-31,22:52:56,2,1,Fingerprint
544,2023-03-01,10:35:15,1,0,Facial Recognition
52,2023-02-28,19:19:43,4,1,PIN
239,2023-01-28,18:01:24,1,0,Fingerprint
381,2023-01-01,11:19:20,4,1,Fingerprint
483,2023-03-13,02:44:21,1,0,PIN
560,2023-03-12,19:34:26,3,1,Password
973,2023-01-22,10:38:09,2,1,Password
89,2023-01-28,14:31:32,3,1,Fingerprint
803,2023-03-14,19:16:21,2,1,PIN
332,2023-03-05,09:08:50,4,1,Password
77,2023-02-14,18:30:49,2,1,Facial Recognition
188,2023-01-04,19:29:45,2,0,Fingerprint
335,2023-01-23,09:11:44,3,1,Facial Recognition
492,2023-03-17,15:45:03,4,0,Facial Recognition
403,2023-02-08,03:59:32,4,1,PIN
568,2023-02-19,16:28:56,2,0,Password
993,2023-03-13,16:16:58,3,0,PIN
103,2023-01-05,23:58:11,2,1,Fingerprint
750,2023-01-24,02:11:38,1,0,Password
462,2023-03-21,09:14:09,2,1,Facial Recognition
902,2023-01-12,20:10:32,3,1,Password
278,2023-03-20,03:57:59,2,1,Password
725,2023-03-11,11:53:09,1,0,Facial Recognition
450,2023-02-10,15:01:04,3,1,Fingerprint
908,2023-03-10,05:39:56,1,0,Fingerprint
616,2023-02-05,02:27:38,1,1,PIN
24,2023-02-03,23:45:07,2,0,Fingerprint
142,2023-01-17,14:54:33,2,1,Password
791,2023-02-12,10:04:48,2,1,Password
490,2023-03-05,08:56:21,2,0,Facial Recognition
400,2023-03-27,11:34:52,4,0,Password
479,2023-03-14,16:53:54,1,0,PIN
456,2023-01-27,08:42:37,3,1,Fingerprint
812,2023-03-19,13:11:49,2,0,Fingerprint
363,2023-03-05,23:22:58,2,1,PIN
754,2023-01-16,10:40:36,1,1,Password
781,2023-03-04,20:52:21,2,0,PIN
959,2023-02-28,15:37:01,4,0,Facial Recognition
570,2023-02-23,16:58:24,2,0,Password
805,2023-03-22,20:53:13,1,0,PIN
558,2023-01-31,23:37:54,4,0,PIN
415,2023-03-12,19:38:35,1,1,Fingerprint
200,2023-03-18,23:24:45,3,1,Fingerprint
316,2023-02-13,13:32:58,3,1,Password
615,2023-01-16,02:25:38,3,0,PIN
729,2023-02-22,12:39:48,4,0,Password
330,2023-03-15,18:24:19,2,0,Facial Recognition
845,2023-03-11,03:42:23,3,1,Password
902,2023-02-19,09:10:13,3,0,PIN
850,2023-03-26,11:20:09,4,1,Facial Recognition
815,2023-03-18,23:05:36,2,0,Fingerprint
348,2023-01-04,16:17:26,2,0,Facial Recognition
972,2023-01-02,09:20:36,3,0,PIN
30,2023-01-25,05:49:00,4,1,PIN
764,2023-03-27,09:25:31,3,1,Password
708,2023-01-29,16:04:38,2,1,Password
993,2023-03-01,04:27:13,1,0,Fingerprint
331,2023-01-31,05:48:12,2,1,Facial Recognition
