device_id,power_date,power_time,powered_on
826,2023-03-30,14:58:32,0
470,2023-03-07,08:53:55,1
168,2023-02-07,11:33:41,1
357,2023-02-15,16:26:15,0
991,2023-02-22,07:42:13,1
715,2023-02-22,21:25:13,0
715,2023-01-24,07:23:33,1
979,2023-03-28,18:57:21,0
884,2023-02-20,06:37:07,1
754,2023-01-29,08:33:51,0
688,2023-02-20,06:02:35,0
710,2023-01-22,22:49:16,0
293,2023-02-20,01:36:49,1
305,2023-03-29,19:00:54,0
455,2023-02-06,22:52:04,0
378,2023-02-16,12:57:19,1
18,2023-01-26,04:13:16,1
69,2023-03-15,02:34:37,1
466,2023-01-11,17:27:28,0
195,2023-01-03,17:30:57,1
26,2023-03-08,19:48:59,0
95,2023-02-09,19:11:55,1
414,2023-03-24,03:18:00,0
63,2023-03-23,20:05:47,0
529,2023-03-27,15:43:44,0
570,2023-01-16,06:45:38,1
518,2023-02-12,13:43:19,1
517,2023-02-16,18:04:37,1
98,2023-01-05,05:15:56,1
15,2023-01-05,04:03:37,1
331,2023-02-15,20:16:52,0
904,2023-03-18,10:09:15,0
360,2023-01-26,19:28:04,1
20,2023-01-02,22:35:04,1
155,2023-02-16,12:41:10,0
770,2023-02-02,08:54:09,1
212,2023-03-04,08:02:09,0
880,2023-02-09,13:34:29,1
385,2023-03-18,12:59:14,0
937,2023-02-17,11:37:28,0
734,2023-02-18,20:21:44,1
140,2023-03-04,21:17:28,1
990,2023-02-03,12:41:47,0
312,2023-02-18,05:59:20,0
619,2023-01-11,13:44:10,0
387,2023-03-24,05:18:38,1
575,2023-03-09,21:13:43,0
16,2023-01-20,08:18:22,0
966,2023-03-06,22:15:41,1
977,2023-01-06,22:00:21,0
112,2023-02-28,08:28:30,1
640,2023-03-31,11:42:33,0
413,2023-03-28,01:46:53,0
922,2023-02-22,22:07:14,0
649,2023-01-09,23:34:11,0
438,2023-02-23,21:29:33,0
870,2023-03-17,07:48:35,1
329,2023-01-30,04:12:55,0
956,2023-03-21,04:57:28,0
119,2023-03-18,18:41:27,0
95,2023-03-11,13:40:28,0
380,2023-03-08,11:47:15,0
931,2023-02-24,06:20:30,1
103,2023-02-25,22:36:46,0
875,2023-01-26,23:05:17,1
919,2023-02-23,06:38:27,1
321,2023-01-14,12:41:10,0
475,2023-01-13,13:11:06,1
756,2023-02-24,17:12:07,0
221,2023-01-27,09:47:46,1
922,2023-02-26,21:17:51,0
220,2023-02-05,03:39:59,0
2,2023-01-04,11:50:59,0
888,2023-02-20,10:36:54,0
522,2023-03-10,00:37:52,0
127,2023-02-14,04:10:15,1
443,2023-03-21,01:50:39,0
929,2023-02-14,21:47:30,0
52,2023-01-25,02:09:10,1
618,2023-02-09,17:01:27,0
565,2023-01-22,04:56:23,1
754,2023-01-12,22:52:23,0
473,2023-03-01,20:10:32,1
504,2023-01-16,05:48:10,0
428,2023-02-16,10:26:26,0
653,2023-03-12,17:13:57,1
339,2023-03-31,10:54:03,1
954,2023-01-05,13:50:46,0
620,2023-02-11,12:26:04,1
156,2023-02-19,14:38:17,1
344,2023-03-04,02:57:23,0
612,2023-01-02,03:01:45,0
555,2023-02-01,06:04:19,1
515,2023-03-23,15:19:31,0
696,2023-02-27,21:08:29,1
181,2023-02-05,09:28:38,0
321,2023-02-26,22:35:53,0
993,2023-01-04,06:06:35,0
313,2023-03-12,05:22:28,1
676,2023-01-22,08:09:57,0
346,2023-01-19,08:58:57,1
123,2023-01-20,00:18:55,1
387,2023-03-08,19:23:53,1
957,2023-02-18,13:48:50,0
596,2023-02-12,10:23:47,1
386,2023-01-07,13:10:28,0
505,2023-01-19,02:30:32,1
820,2023-01-04,00:14:29,1
938,2023-01-22,04:19:53,0
485,2023-03-17,04:46:32,0
499,2023-01-21,06:16:18,0
327,2023-02-18,08:02:45,0
136,2023-04-01,02:32:16,1
861,2023-01-29,11:02:18,0
530,2023-01-27,20:42:26,0
930,2023-03-30,01:17:43,1
10,2023-01-28,11:04:14,0
440,2023-01-05,08:19:44,1
467,2023-02-03,07:58:07,1
3,2023-03-28,02:06:17,1
793,2023-01-14,12:14:08,0
15,2023-01-20,23:03:38,0
976,2023-03-15,06:34:47,1
402,2023-01-21,09:53:56,0
541,2023-03-24,06:04:47,1
726,2023-02-02,05:46:46,0
585,2023-01-28,11:53:08,1
749,2023-02-08,05:08:30,0
537,2023-01-21,17:02:18,0
572,2023-03-21,02:18:20,1
147,2023-03-25,09:02:41,1
274,2023-01-03,04:37:02,0
148,2023-01-10,22:05:31,1
469,2023-01-21,11:18:32,0
367,2023-01-19,09:35:22,0
259,2023-02-07,20:14:22,0
400,2023-02-03,16:16:05,0
319,2023-02-13,12:15:20,1
806,2023-03-31,07:15:15,1
610,2023-03-28,06:04:50,0
234,2023-03-04,12:24:01,1
756,2023-02-10,08:02:42,0
885,2023-01-21,07:41:07,1
883,2023-02-28,23:15:31,0
34,2023-01-15,07:30:45,1
398,2023-01-11,10:24:39,0
865,2023-01-16,09:48:04,1
505,2023-02-28,01:47:31,0
72,2023-02-02,16:08:14,0
45,2023-03-12,22:11:09,1
899,2023-03-19,05:13:24,0
475,2023-03-15,08:38:51,0
181,2023-02-05,17:18:28,0
968,2023-02-14,17:18:03,0
292,2023-02-02,18:34:28,1
561,2023-01-23,11:30:00,1
925,2023-01-15,20:30:10,0
152,2023-01-28,09:13:14,0
437,2023-03-14,00:01:32,1
1,2023-03-08,09:01:36,0
873,2023-02-23,10:47:15,1
915,2023-02-24,09:05:45,0
976,2023-02-28,03:22:49,0
285,2023-01-24,20:00:52,0
116,2023-01-19,09:04:09,0
680,2023-01-13,12:33:19,0
777,2023-01-03,03:44:58,0
87,2023-01-20,15:08:21,1
132,2023-03-25,15:13:21,1
512,2023-01-20,20:18:46,0
452,2023-03-19,09:00:17,1
511,2023-03-09,22:54:49,1
295,2023-03-03,22:04:30,0
92,2023-03-11,01:41:06,0
869,2023-03-03,23:17:49,1
916,2023-02-12,17:28:21,0
841,2023-03-07,13:48:33,1
629,2023-01-10,22:44:39,1
847,2023-03-05,15:43:55,1
808,2023-03-25,13:22:06,0
993,2023-02-11,07:47:05,1
253,2023-01-26,10:10:19,1
497,2023-03-29,23:42:39,1
774,2023-03-07,10:47:23,0
31,2023-01-10,09:09:57,0
445,2023-03-28,01:09:39,0
536,2023-01-14,22:03:57,1
269,2023-03-19,02:07:08,0
717,2023-02-23,11:15:30,0
791,2023-02-14,21:50:04,0
237,2023-02-09,18:46:38,1
61,2023-03-11,16:03:14,1
340,2023-03-22,18:49:06,0
956,2023-01-21,11:05:56,1
125,2023-02-15,02:12:07,0
540,2023-01-01,03:16:12,1
629,2023-01-03,06:20:08,1
672,2023-02-28,12:58:03,0
99,2023-03-14,12:41:20,1
792,2023-03-19,18:50:34,1
325,2023-02-18,05:32:42,0
801,2023-03-24,06:38:50,0
354,2023-03-15,19:37:28,1
163,2023-02-09,18:27:23,0
934,2023-01-12,23:42:33,0
690,2023-01-03,08:37:44,0
135,2023-02-24,04:18:09,1
257,2023-02-28,03:57:16,0
786,2023-02-20,12:50:36,0
192,2023-04-01,12:44:01,1
437,2023-02-16,10:32:37,1
966,2023-02-25,19:09:37,0
781,2023-01-04,11:48:55,1
722,2023-01-13,19:44:37,1
209,2023-01-08,00:43:22,1
461,2023-03-19,03:47:53,1
57,2023-03-06,17:13:13,0
296,2023-01-27,19:12:44,0
32,2023-02-20,12:08:16,1
871,2023-02-12,18:46:32,1
805,2023-01-11,12:47:16,0
222,2023-01-01,18:42:55,1
891,2023-01-29,20:24:12,0
825,2023-03-13,19:56:47,1
72,2023-02-22,17:03:12,1
28,2023-01-22,02:04:34,1
538,2023-03-08,19:22:56,1
188,2023-01-21,18:35:44,1
624,2023-02-18,21:10:14,1
747,2023-02-15,09:14:45,1
403,2023-02-16,21:12:40,1
721,2023-03-25,18:48:08,0
130,2023-01-05,09:51:22,1
304,2023-02-24,21:32:20,1
308,2023-03-14,06:01:06,0
301,2023-02-11,01:46:23,0
795,2023-01-04,09:36:10,0
735,2023-03-20,23:24:51,1
423,2023-02-13,08:21:05,1
320,2023-01-31,06:04:02,0
262,2023-02-21,12:26:34,0
104,2023-03-03,05:13:52,1
601,2023-03-01,03:30:49,1
887,2023-01-28,04:52:13,1
556,2023-02-23,00:15:04,0
215,2023-01-21,20:06:59,1
117,2023-01-01,20:20:28,1
255,2023-02-06,06:22:56,0
349,2023-03-04,01:16:10,1
338,2023-01-30,16:10:15,1
77,2023-01-08,04:05:08,0
946,2023-01-04,19:27:11,1
57,2023-01-15,21:25:15,1
418,2023-02-13,21:38:05,0
684,2023-03-26,20:40:45,1
860,2023-03-31,11:38:56,1
616,2023-02-26,14:16:58,0
107,2023-02-07,00:01:11,0
885,2023-03-03,15:12:36,0
205,2023-03-08,12:21:35,1
65,2023-02-07,11:56:29,0
949,2023-01-17,23:37:28,1
124,2023-02-09,14:29:52,0
761,2023-01-04,06:00:07,1
335,2023-02-17,23:10:57,0
935,2023-03-16,20:05:38,0
115,2023-02-14,20:25:20,0
408,2023-03-03,08:28:07,1
800,2023-01-11,04:22:02,0
320,2023-01-25,11:37:56,0
192,2023-03-27,23:50:41,0
577,2023-03-22,16:24:51,1
785,2023-02-11,07:30:03,1
622,2023-03-10,15:04:38,1
310,2023-01-24,21:01:48,0
662,2023-02-21,08:00:16,0
344,2023-01-13,17:43:32,0
79,2023-02-23,17:18:07,0
36,2023-01-18,05:47:00,0
490,2023-02-12,08:39:41,0
476,2023-03-18,15:04:02,0
17,2023-03-18,21:44:57,0
740,2023-02-19,20:35:08,1
94,2023-01-04,18:13:32,0
275,2023-02-14,16:58:49,1
621,2023-01-16,15:16:59,1
199,2023-04-01,06:11:11,0
979,2023-03-05,07:24:56,1
98,2023-03-12,19:29:04,0
368,2023-02-05,15:15:14,1
382,2023-03-09,02:49:18,0
153,2023-02-05,07:43:09,0
945,2023-02-15,01:13:04,0
266,2023-02-04,08:27:46,0
138,2023-03-06,03:57:37,0
337,2023-02-15,20:34:34,1
81,2023-01-07,03:15:59,0
672,2023-02-10,11:56:04,0
219,2023-01-14,11:18:57,1
533,2023-02-12,15:01:16,1
807,2023-02-07,18:15:11,1
367,2023-03-31,07:53:04,1
621,2023-01-01,17:35:57,0
792,2023-03-14,19:52:53,1
163,2023-03-03,08:54:32,0
983,2023-03-12,06:59:43,0
553,2023-01-27,07:31:24,1
934,2023-02-12,16:47:41,0
906,2023-01-15,00:27:17,1
292,2023-01-02,11:54:33,0
518,2023-01-17,23:29:28,1
600,2023-02-01,18:47:17,1
373,2023-03-09,01:37:35,1
515,2023-01-07,07:16:41,1
622,2023-03-29,07:45:45,0
248,2023-04-01,04:33:32,1
777,2023-03-30,13:31:12,0
245,2023-03-21,11:50:29,1
17,2023-03-27,04:36:41,0
963,2023-01-11,15:29:38,0
443,2023-03-02,19:55:45,0
196,2023-01-28,16:12:11,0
250,2023-02-10,07:33:18,0
90,2023-02-13,19:21:17,0
538,2023-03-12,21:36:47,1
985,2023-01-04,05:57:35,1
398,2023-02-23,16:25:23,1
319,2023-02-24,06:38:42,1
872,2023-02-05,16:58:03,0
421,2023-01-30,14:37:32,0
865,2023-01-06,10:33:41,1
240,2023-02-23,01:31:41,0
480,2023-03-07,17:11:18,0
925,2023-02-09,15:52:02,0
973,2023-02-20,19:13:05,1
769,2023-01-31,20:06:57,0
165,2023-01-08,19:46:04,1
68,2023-01-10,23:37:53,1
311,2023-02-15,02:00:59,1
958,2023-02-05,02:36:58,0
941,2023-03-21,09:43:38,1
759,2023-03-01,11:12:35,0
589,2023-03-09,05:19:41,0
790,2023-01-17,13:28:57,1
363,2023-01-24,01:15:48,0
182,2023-01-03,06:35:17,0
42,2023-01-16,08:45:03,0
769,2023-02-21,10:22:26,1
444,2023-01-30,03:29:40,1
543,2023-01-25,04:59:02,0
198,2023-01-05,01:23:34,0
758,2023-03-03,13:11:12,1
599,2023-01-28,09:06:32,0
83,2023-02-28,09:23:38,1
186,2023-02-23,20:15:58,0
896,2023-01-05,08:32:53,0
765,2023-03-06,17:17:25,1
697,2023-01-10,10:40:18,1
102,2023-02-03,08:21:04,1
44,2023-03-25,14:33:56,0
627,2023-03-12,04:20:24,0
728,2023-02-09,12:39:21,0
875,2023-01-01,21:13:29,0
255,2023-01-28,15:55:41,0
450,2023-03-14,05:03:08,1
770,2023-02-25,14:27:36,0
550,2023-01-21,23:30:12,0
108,2023-03-01,10:20:24,0
600,2023-01-31,02:03:29,1
674,2023-01-25,19:43:49,1
523,2023-02-19,11:19:11,0
885,2023-03-09,09:48:25,0
646,2023-01-29,16:47:02,0
156,2023-03-23,23:22:55,1
509,2023-02-01,19:46:01,1
262,2023-03-17,00:12:05,1
519,2023-03-19,04:12:57,1
348,2023-02-10,15:33:04,0
