message_id,send_date,send_time,platform,viewed,content,sender_id,receiver_id
1,2023-03-28,22:07:24,Slack,1,LOL,201,78
2,2023-03-17,02:10:40,SnapChat,0,Good job at work today!,943,245
3,2023-01-19,18:10:27,SnapChat,0,Where is the butter again?,328,640
4,2023-02-23,10:02:31,SnapChat,0,I'm thinking about you :),686,235
5,2023-03-18,04:47:33,Slack,1,OMG!,901,508
6,2023-03-28,08:16:09,Discord,1,OMG!,565,977
7,2023-03-14,07:35:09,SnapChat,0,5 days to go!,220,494
8,2023-04-01,00:02:16,SnapChat,0,How are you??,915,425
9,2023-01-07,05:37:22,WhatsApp,1,I hate this app.,271,597
10,2023-01-12,14:03:29,WhatsApp,1,Good job at work today!,217,475
11,2023-01-27,06:36:29,SnapChat,1,5 days to go!,758,616
12,2023-02-01,17:59:42,SnapChat,1,Why are you so rude?,218,521
13,2023-03-14,06:08:44,Messenger,1,I hate this app.,415,162
14,2023-02-22,07:54:11,Discord,1,Could you pick up some milk on your way home?,991,280
15,2023-03-18,14:30:47,SnapChat,1,OMG!,40,758
16,2023-02-01,06:20:54,Discord,0,LMAO!,986,23
17,2023-02-01,00:22:01,Messenger,0,LOL,831,333
18,2023-03-04,04:57:02,Discord,0,Where is the butter again?,911,906
19,2023-02-16,08:38:54,Slack,0,Could you pick up some milk on your way home?,93,830
20,2023-03-07,03:59:46,SnapChat,1,"Hey girl, what's cooking?",341,831
21,2023-01-26,04:52:25,Discord,0,Hey!,783,95
22,2023-01-19,22:16:16,Slack,0,Could you pick up some milk on your way home?,607,670
23,2023-01-15,00:35:26,Slack,0,5 days to go!,882,666
24,2023-01-22,10:30:30,SnapChat,0,Hey!,470,303
25,2023-02-15,17:44:39,SnapChat,0,Could you pick up some milk on your way home?,333,62
26,2023-01-15,23:05:01,Discord,1,Good luck on the interview!,437,693
27,2023-03-29,12:16:48,Discord,0,Good luck on the interview!,88,886
28,2023-01-24,13:50:58,SnapChat,0,LMAO!,651,956
29,2023-01-27,05:27:33,Discord,0,Why are you so rude?,339,403
30,2023-03-11,13:28:28,WhatsApp,1,5 days to go!,445,29
31,2023-03-30,06:17:32,Slack,1,ROLF,464,437
32,2023-02-02,09:02:34,Discord,1,I love you!,243,618
33,2023-03-02,07:28:11,Slack,1,I hate this app.,408,441
34,2023-04-01,11:50:01,Discord,0,LMAO!,797,581
35,2023-01-17,04:37:17,Messenger,1,ROLF,670,636
36,2023-02-25,08:03:18,Messenger,1,LMAO!,635,359
37,2023-01-24,23:33:34,Slack,0,Why are you so rude?,866,111
38,2023-03-02,14:40:09,Discord,1,OMG!,444,868
39,2023-01-19,13:37:47,WhatsApp,1,OMG!,819,961
40,2023-01-14,22:45:48,Discord,1,I love you!,904,687
41,2023-01-16,21:18:02,SnapChat,1,What's up?,549,416
42,2023-03-03,13:33:17,Discord,1,ROLF,607,969
43,2023-01-03,15:48:01,Slack,0,Hey!,4,621
44,2023-01-02,13:30:15,Discord,1,I love you!,496,634
45,2023-03-22,02:34:27,WhatsApp,1,LOL,572,501
46,2023-01-20,13:32:13,Messenger,0,5 days to go!,564,917
47,2023-04-01,15:47:10,WhatsApp,0,I hate this app.,205,479
48,2023-01-24,07:11:56,WhatsApp,1,LMAO!,913,988
49,2023-03-25,14:08:18,Messenger,0,Could you pick up some milk on your way home?,922,960
50,2023-03-26,06:07:03,Discord,1,OMG!,745,720
51,2023-02-12,03:46:26,SnapChat,1,The kids are at school rn…,809,883
52,2023-02-20,12:34:11,Messenger,0,Why are you so rude?,890,273
53,2023-02-02,08:14:00,Messenger,1,Sup bro?,952,984
54,2023-02-24,22:22:09,WhatsApp,1,OMG!,164,888
55,2023-02-11,15:20:58,SnapChat,1,How are you??,440,492
56,2023-02-09,02:20:07,Messenger,1,I'm thinking about you :),533,709
57,2023-03-17,05:57:35,Slack,1,Be careful!,667,724
58,2023-02-07,09:19:41,WhatsApp,0,Good luck on the interview!,359,565
59,2023-01-22,15:20:34,SnapChat,1,Be careful!,101,737
60,2023-02-25,06:37:33,WhatsApp,0,"Hey girl, what's cooking?",78,126
61,2023-02-02,06:17:30,Slack,1,Good job at work today!,908,722
62,2023-03-06,17:12:43,WhatsApp,0,5 days to go!,801,146
63,2023-02-03,17:41:44,Messenger,1,The kids are at school rn…,551,861
64,2023-02-27,23:49:37,SnapChat,1,Good luck on the interview!,315,846
65,2023-01-15,05:35:37,Slack,0,How are you??,798,893
66,2023-03-13,02:43:09,WhatsApp,1,The kids are at school rn…,678,106
67,2023-02-20,01:40:01,Slack,0,I hate this app.,631,943
68,2023-03-27,01:35:56,WhatsApp,1,OMG!,405,582
