device_id,on_body_date,on_body_time,on_body
350,2023-03-21,10:21:18,0
361,2023-03-18,05:46:04,1
17,2023-02-02,22:33:54,1
541,2023-01-08,17:31:19,1
479,2023-02-01,15:06:27,0
324,2023-02-03,14:21:51,0
934,2023-03-28,02:48:58,0
350,2023-03-31,08:38:27,1
689,2023-01-14,22:21:40,0
64,2023-01-22,09:43:17,1
408,2023-01-07,15:13:51,0
696,2023-03-24,08:06:45,0
765,2023-03-30,15:56:31,1
704,2023-02-08,03:35:12,0
400,2023-02-08,14:03:43,0
338,2023-02-15,20:17:33,1
85,2023-03-03,16:34:31,1
250,2023-03-23,03:42:29,1
38,2023-01-29,19:49:59,0
6,2023-02-08,19:58:08,0
971,2023-02-28,11:07:51,0
367,2023-02-25,03:46:36,1
231,2023-03-18,14:25:14,0
586,2023-02-12,17:56:27,1
89,2023-01-02,13:10:26,1
966,2023-01-24,23:48:09,1
707,2023-03-31,01:30:08,0
195,2023-01-20,17:08:33,0
854,2023-01-26,10:04:12,0
733,2023-01-16,19:41:47,1
561,2023-01-06,03:37:48,0
255,2023-01-05,15:49:26,1
454,2023-01-02,19:11:51,0
915,2023-03-10,19:09:27,1
367,2023-03-20,17:03:00,0
44,2023-03-28,18:53:43,0
422,2023-01-08,20:11:47,1
674,2023-02-14,18:39:29,1
887,2023-02-11,21:28:03,0
249,2023-02-23,13:07:35,1
664,2023-01-08,19:20:59,0
565,2023-03-07,06:05:44,1
268,2023-03-06,12:58:44,1
64,2023-01-09,23:46:53,0
590,2023-01-05,10:07:50,1
398,2023-03-21,19:00:15,0
661,2023-02-01,04:54:27,0
904,2023-03-05,12:58:35,1
129,2023-01-16,20:07:28,0
274,2023-01-06,13:44:20,0
97,2023-02-27,10:10:03,0
235,2023-03-04,01:47:21,0
826,2023-01-10,07:20:34,0
975,2023-03-28,19:52:05,0
454,2023-01-31,06:24:56,0
867,2023-01-30,08:14:23,0
628,2023-02-14,20:36:45,1
792,2023-01-13,03:14:07,0
289,2023-03-22,17:26:24,1
55,2023-03-18,09:58:50,0
761,2023-02-05,02:16:34,0
511,2023-01-18,16:23:47,0
662,2023-01-21,16:10:51,1
932,2023-02-06,00:59:01,1
644,2023-03-26,19:34:41,0
222,2023-01-08,11:51:16,1
436,2023-03-09,18:25:14,0
536,2023-01-25,00:07:23,0
88,2023-03-24,03:48:11,1
9,2023-01-11,23:50:16,0
445,2023-02-05,07:21:36,0
752,2023-02-10,22:40:46,1
292,2023-01-02,04:35:27,1
692,2023-01-02,20:06:58,0
861,2023-01-05,11:34:02,1
978,2023-03-28,08:04:24,0
767,2023-03-31,19:05:09,0
678,2023-03-01,05:32:23,0
500,2023-01-25,17:41:48,0
585,2023-01-04,18:21:44,0
610,2023-03-01,22:50:20,0
316,2023-02-04,03:29:18,0
946,2023-03-18,07:40:13,1
604,2023-01-23,20:51:37,1
75,2023-01-28,07:14:21,0
126,2023-02-17,05:00:10,1
415,2023-02-15,23:34:02,1
414,2023-02-01,00:11:28,1
381,2023-01-02,03:04:21,0
869,2023-03-04,07:39:47,1
212,2023-01-31,00:58:58,0
213,2023-02-12,11:33:10,1
273,2023-03-22,11:06:32,0
952,2023-03-21,05:51:40,1
180,2023-02-10,19:45:49,0
732,2023-01-28,17:25:12,1
820,2023-02-04,12:54:00,1
857,2023-01-25,07:52:13,0
837,2023-01-01,00:13:09,0
387,2023-01-22,19:24:05,1
874,2023-02-06,08:41:57,0
729,2023-03-02,14:56:41,0
738,2023-01-15,20:52:00,0
118,2023-03-14,02:55:58,0
470,2023-03-11,15:22:01,1
450,2023-01-09,12:53:42,1
176,2023-02-20,04:56:21,1
88,2023-02-25,10:19:02,1
168,2023-02-15,07:16:15,0
942,2023-02-23,07:23:31,0
7,2023-01-07,02:27:53,0
199,2023-03-06,01:46:22,0
788,2023-02-13,04:10:29,1
845,2023-03-01,16:43:08,0
350,2023-02-15,07:15:32,0
737,2023-01-28,17:06:44,0
737,2023-03-06,16:54:47,1
24,2023-03-29,16:33:42,0
968,2023-03-01,06:52:52,1
780,2023-02-15,19:25:36,1
348,2023-03-30,23:36:23,0
876,2023-02-22,07:18:40,0
435,2023-01-11,23:42:37,0
980,2023-03-16,18:49:34,1
833,2023-01-07,07:41:58,0
709,2023-02-25,16:23:04,1
338,2023-03-03,13:49:38,0
843,2023-04-01,02:03:11,1
539,2023-03-26,05:21:59,1
871,2023-01-27,18:17:34,0
633,2023-02-07,08:37:41,0
163,2023-02-05,07:19:27,1
979,2023-01-21,01:13:55,1
298,2023-03-18,03:31:37,1
696,2023-01-01,05:16:24,1
563,2023-03-03,04:37:33,1
791,2023-03-20,16:49:44,0
824,2023-01-22,16:58:19,1
276,2023-01-26,07:22:14,0
205,2023-03-23,00:29:12,0
753,2023-03-12,07:03:45,1
893,2023-03-13,21:06:38,1
812,2023-01-23,21:56:09,0
711,2023-01-14,17:23:38,0
330,2023-03-21,23:51:34,0
673,2023-02-22,12:16:10,0
103,2023-02-25,19:26:26,1
636,2023-01-30,11:49:46,1
115,2023-02-14,07:37:24,1
616,2023-03-13,01:06:21,0
441,2023-03-24,20:20:19,0
240,2023-02-19,03:21:19,0
296,2023-02-01,18:17:43,0
10,2023-02-05,01:15:13,1
410,2023-02-16,12:18:56,1
532,2023-01-22,05:24:59,0
393,2023-01-29,02:22:15,0
325,2023-01-17,03:46:54,0
411,2023-01-19,22:43:42,0
386,2023-03-05,23:21:12,1
249,2023-03-12,14:54:53,0
782,2023-03-25,22:05:38,1
447,2023-03-13,07:17:22,0
759,2023-02-10,07:49:08,0
875,2023-01-06,00:54:36,1
964,2023-03-10,03:24:27,1
781,2023-01-10,06:01:24,1
106,2023-01-23,07:53:23,1
663,2023-03-15,02:06:11,0
198,2023-03-23,08:18:37,0
507,2023-03-03,03:59:40,1
659,2023-02-23,01:11:15,1
167,2023-03-25,23:44:57,0
685,2023-02-19,13:00:28,1
294,2023-02-21,08:24:43,0
104,2023-03-17,21:45:24,1
558,2023-02-09,16:58:23,0
831,2023-03-24,22:28:44,1
22,2023-03-09,06:41:19,0
988,2023-01-27,15:52:28,0
884,2023-03-11,20:25:56,1
743,2023-01-11,06:56:15,0
213,2023-01-21,19:56:56,1
548,2023-03-18,00:54:02,1
594,2023-01-11,12:39:59,0
274,2023-01-05,13:47:20,1
185,2023-01-22,15:59:22,1
229,2023-01-12,14:58:53,1
705,2023-01-09,11:46:43,1
709,2023-03-03,04:31:34,0
263,2023-01-13,19:55:59,0
83,2023-04-01,14:34:54,0
970,2023-02-18,03:35:15,1
424,2023-02-05,13:25:45,0
59,2023-03-19,22:12:22,0
874,2023-02-21,11:12:40,0
918,2023-02-20,15:07:08,0
33,2023-03-07,04:14:24,1
476,2023-01-11,09:43:25,0
640,2023-03-06,22:21:25,0
592,2023-01-15,06:24:08,1
872,2023-01-16,08:35:44,0
979,2023-01-03,22:36:13,0
429,2023-01-18,19:58:23,0
999,2023-01-07,04:12:10,0
231,2023-01-17,11:26:48,1
548,2023-03-06,22:42:04,0
923,2023-03-23,17:15:32,1
342,2023-01-01,22:22:28,1
310,2023-03-08,19:53:02,0
96,2023-02-09,17:52:52,0
790,2023-02-27,01:39:19,0
653,2023-02-20,14:17:45,0
390,2023-03-03,10:27:56,1
79,2023-02-12,10:54:01,1
205,2023-01-02,01:37:00,0
367,2023-01-28,03:33:31,0
634,2023-01-04,10:23:01,1
840,2023-01-09,20:46:48,1
143,2023-01-27,07:21:23,1
117,2023-03-21,00:46:14,0
42,2023-03-23,07:31:24,1
888,2023-02-04,05:13:56,0
114,2023-03-19,20:03:06,0
214,2023-01-13,13:07:33,1
407,2023-01-01,10:48:18,1
46,2023-03-26,20:19:09,0
170,2023-02-09,05:05:59,1
364,2023-03-28,18:25:06,1
169,2023-01-29,11:31:32,1
984,2023-02-16,07:31:58,1
290,2023-01-24,06:13:09,1
523,2023-03-20,00:20:56,1
732,2023-04-01,23:32:05,1
278,2023-02-26,15:00:14,1
863,2023-01-20,20:41:43,1
73,2023-03-29,21:38:16,0
361,2023-02-23,12:25:01,0
916,2023-01-28,20:08:19,0
908,2023-01-01,05:00:47,0
416,2023-02-05,13:21:28,0
113,2023-02-07,13:35:32,0
482,2023-01-20,17:16:13,1
92,2023-02-18,03:26:46,1
953,2023-03-22,23:58:48,1
852,2023-01-07,19:22:16,0
771,2023-03-18,16:35:54,0
852,2023-02-15,07:59:46,0
542,2023-02-20,02:39:13,0
596,2023-02-21,12:51:36,1
712,2023-03-31,23:47:26,0
704,2023-03-21,00:56:45,1
511,2023-03-03,08:01:52,0
956,2023-03-01,15:12:27,0
167,2023-02-25,08:24:57,1
496,2023-01-27,06:24:55,1
476,2023-03-09,03:45:22,0
833,2023-03-15,01:59:33,1
729,2023-03-04,06:52:55,0
84,2023-01-21,07:16:38,1
25,2023-03-10,09:09:45,1
599,2023-03-19,10:59:39,0
631,2023-03-16,13:59:49,1
348,2023-02-14,05:10:45,1
269,2023-03-31,04:31:19,1
190,2023-03-03,21:04:04,1
917,2023-03-06,09:19:58,0
18,2023-02-07,19:49:42,1
99,2023-01-03,01:45:32,1
615,2023-02-23,23:50:30,1
550,2023-03-31,22:49:41,0
668,2023-02-01,04:16:14,1
581,2023-03-27,18:01:05,1
849,2023-03-14,20:23:32,1
951,2023-02-03,20:42:56,1
750,2023-03-17,14:54:14,0
841,2023-03-20,04:27:08,0
985,2023-03-04,21:05:17,0
44,2023-01-28,13:05:53,0
574,2023-01-17,18:02:48,1
49,2023-03-28,23:17:15,1
543,2023-03-11,02:32:06,0
215,2023-02-26,18:35:55,0
19,2023-03-08,21:44:32,1
992,2023-03-21,17:48:39,0
753,2023-03-02,09:48:34,1
697,2023-03-09,14:19:36,1
162,2023-03-22,20:54:20,1
81,2023-03-18,00:50:10,0
481,2023-02-23,18:11:49,1
61,2023-03-15,14:16:38,0
585,2023-03-25,17:59:39,0
751,2023-03-20,08:14:59,1
605,2023-02-08,23:29:18,1
804,2023-01-21,21:56:38,1
970,2023-01-05,12:38:01,0
514,2023-01-31,00:36:08,0
139,2023-01-18,04:00:26,0
778,2023-01-07,05:04:43,1
814,2023-02-20,23:41:59,1
565,2023-01-06,18:56:02,0
470,2023-01-29,04:57:33,1
772,2023-03-11,15:57:40,0
373,2023-01-13,09:07:27,0
371,2023-03-04,22:40:00,1
617,2023-02-01,10:28:20,0
123,2023-03-28,22:17:56,0
389,2023-02-18,18:52:13,1
217,2023-02-21,03:01:36,1
989,2023-03-20,22:08:23,1
965,2023-01-04,08:14:12,1
272,2023-03-28,10:09:53,1
942,2023-01-25,01:12:08,0
240,2023-01-27,16:58:25,0
501,2023-01-23,23:43:02,0
384,2023-01-01,05:20:04,0
315,2023-03-06,23:15:23,0
860,2023-02-05,01:38:20,0
382,2023-04-01,08:03:11,1
418,2023-02-25,22:51:45,0
467,2023-03-13,10:12:43,0
586,2023-03-04,00:57:52,1
550,2023-03-19,04:49:05,0
472,2023-03-15,11:37:30,1
460,2023-01-28,18:00:34,1
94,2023-03-13,21:34:28,0
120,2023-01-20,19:41:45,0
121,2023-02-11,06:50:54,1
787,2023-01-09,11:42:24,0
333,2023-01-29,23:25:53,1
341,2023-01-15,12:07:05,1
641,2023-03-11,21:32:11,0
209,2023-01-18,12:23:20,1
1000,2023-01-28,17:17:10,0
398,2023-02-21,01:24:44,0
986,2023-01-07,07:09:22,0
300,2023-02-20,21:54:03,1
127,2023-03-08,22:26:37,0
490,2023-03-24,05:30:32,1
187,2023-03-07,02:29:49,0
518,2023-02-11,10:31:35,0
501,2023-03-02,11:15:40,1
181,2023-03-31,22:14:23,1
540,2023-03-13,10:14:40,0
906,2023-02-26,17:44:26,1
649,2023-01-17,11:15:29,1
30,2023-01-23,03:35:06,1
407,2023-01-16,23:50:11,0
665,2023-03-02,06:47:20,0
893,2023-01-27,07:34:30,0
478,2023-02-09,18:09:09,0
530,2023-03-01,10:49:38,1
483,2023-02-27,19:12:08,1
827,2023-03-10,07:52:18,1
21,2023-02-17,16:53:25,0
756,2023-03-04,09:21:10,0
952,2023-01-28,11:56:17,0
836,2023-03-18,00:44:24,1
199,2023-01-05,18:39:11,0
759,2023-01-01,02:18:03,1
256,2023-02-20,10:33:29,1
319,2023-03-23,22:58:34,0
608,2023-01-15,03:46:11,0
819,2023-03-23,16:53:22,1
914,2023-02-11,22:49:42,1
15,2023-01-21,08:07:27,0
690,2023-02-07,05:35:37,0
504,2023-02-14,16:26:00,0
195,2023-02-17,10:03:53,1
271,2023-03-26,02:06:43,1
985,2023-03-15,21:04:31,0
230,2023-01-01,10:28:49,0
616,2023-03-14,07:40:00,0
587,2023-01-28,11:52:05,1
409,2023-01-29,14:42:05,1
920,2023-03-05,20:55:34,1
