message_id,send_date,send_time,content,sender_id,receiver_id
1,2023-03-09,10:38:08,:),628,586
2,2023-02-14,16:09:49,Can you pick up milk on your way home?,878,122
3,2023-01-28,08:29:48,Can you pick up milk on your way home?,135,310
4,2023-01-16,20:14:04,Can we talk?,743,616
5,2023-03-28,22:14:06,LOL,330,321
6,2023-01-19,15:35:14,Shut up grandma!,200,98
7,2023-03-18,06:35:54,LMAO,360,430
8,2023-01-10,17:37:36,"Hey girl, hey!",642,448
9,2023-01-20,08:04:56,OMG!,107,854
10,2023-01-26,08:54:54,LOL,250,812
11,2023-03-01,22:36:52,LMAO,14,120
12,2023-02-15,07:11:01,Can you pick up milk on your way home?,366,39
13,2023-03-18,03:38:55,ROLF!,667,26
14,2023-02-10,17:07:55,ROLF!,821,72
15,2023-01-12,01:30:42,Congrats on the new baby!,927,711
16,2023-02-20,12:16:30,Yikes…,394,882
17,2023-02-22,06:30:32,Can we talk?,195,698
18,2023-03-29,07:47:22,ROLF!,777,235
19,2023-03-02,20:12:48,:),67,593
20,2023-02-17,08:49:40,I love you!,749,673
21,2023-01-08,12:45:21,"Hey Siri, text Madeline.",640,17
22,2023-01-11,23:38:43,LOL,405,115
23,2023-01-26,08:36:39,Have you seen my keys?,620,94
24,2023-03-03,21:26:58,U good?,921,225
25,2023-01-24,06:51:26,Can you pick up milk on your way home?,740,2
26,2023-02-26,08:15:56,"Hey girl, hey!",54,572
27,2023-01-30,04:30:16,Congrats on the new baby!,352,705
28,2023-03-24,03:09:57,Hey!,412,826
29,2023-02-10,21:34:10,"Hey Siri, text Madeline.",956,834
30,2023-01-27,08:51:33,ROLF!,829,792
31,2023-02-07,06:51:42,Have you seen my keys?,696,361
32,2023-03-13,13:05:57,U good?,452,47
33,2023-03-27,18:25:30,Have you seen my keys?,459,955
34,2023-03-13,09:54:50,Whatcha doin?,201,856
35,2023-02-21,22:18:17,Hey!,726,987
36,2023-02-13,18:43:25,Congrats on the new baby!,797,789
37,2023-01-10,15:25:05,Congrats on the new baby!,393,575
38,2023-03-11,19:45:50,:),542,733
39,2023-02-10,17:01:40,What's Up?,130,629
40,2023-03-28,05:57:39,Whatcha doin?,254,331
41,2023-01-11,08:52:55,"Hey Siri, text Madeline.",945,912
42,2023-03-30,13:32:04,I think you should get a job.,889,182
43,2023-03-14,05:28:42,Please do the dishes!,253,717
44,2023-01-31,11:26:11,Yikes…,115,345
45,2023-01-27,00:44:13,"Hey girl, hey!",458,296
46,2023-02-05,00:11:59,What do you mean?,537,407
47,2023-01-25,00:17:28,Pick up your mess next time!,725,960
48,2023-03-26,16:28:24,Congrats on the new baby!,488,963
49,2023-01-24,06:09:07,Can you pick up milk on your way home?,470,28
50,2023-03-19,04:32:49,Can you pick up milk on your way home?,567,100
51,2023-01-31,01:43:58,Pick up your mess next time!,79,150
52,2023-03-11,16:50:25,I love you!,506,64
53,2023-03-20,20:14:35,Can we talk?,590,238
54,2023-02-11,22:03:24,ROLF!,523,926
55,2023-02-23,08:46:18,Sup bro?,622,170
56,2023-02-15,16:12:11,Hey!,15,290
57,2023-01-05,01:17:36,Sup bro?,162,686
58,2023-01-12,21:26:37,Sup bro?,835,506
59,2023-02-15,20:53:50,Can you pick up milk on your way home?,64,97
60,2023-03-27,08:28:04,Can we talk?,262,176
61,2023-03-23,21:36:37,Whatcha doin?,400,191
62,2023-02-02,15:48:31,ROLF!,690,891
63,2023-02-03,02:59:45,I love you!,130,481
64,2023-02-05,16:28:59,Have you seen my keys?,96,777
65,2023-03-02,06:05:31,Whatcha doin?,417,133
66,2023-02-17,14:01:29,Hey!,951,425
67,2023-01-01,10:56:39,Whatcha doin?,990,582
68,2023-03-25,08:23:36,Sup bro?,981,408
69,2023-03-29,00:16:09,OMG!,209,144
70,2023-01-06,20:51:25,Oof that's gotta hurt,12,647
71,2023-01-18,22:22:59,LMAO,195,200
72,2023-02-08,12:01:30,Congrats on the new baby!,630,992
73,2023-01-26,07:30:17,OMG!,69,91
74,2023-01-30,00:47:19,Pick up your mess next time!,171,684
75,2023-03-28,05:31:32,OMG!,824,694
76,2023-03-30,02:03:10,"Hey girl, hey!",507,138
77,2023-02-25,06:05:50,Oof that's gotta hurt,796,332
78,2023-01-26,23:45:50,I think you should get a job.,687,802
79,2023-02-27,10:16:32,Congrats on the new baby!,341,444
80,2023-02-12,09:18:18,LOL,974,771
81,2023-03-04,10:12:13,LMAO,884,289
82,2023-01-31,02:58:37,Pick up your mess next time!,379,34
83,2023-02-01,15:02:03,OMG!,626,456
84,2023-02-08,23:51:46,:),106,224
85,2023-01-19,20:55:47,LMAO,513,804
86,2023-01-02,21:18:21,Have you seen my keys?,441,519
87,2023-01-09,10:26:31,LOL,818,312
88,2023-01-12,13:05:25,Have you seen my keys?,834,857
89,2023-03-22,03:14:50,Have you seen my keys?,372,114
90,2023-02-11,19:43:36,Congrats on the new baby!,448,776
91,2023-02-09,16:41:47,Shut up grandma!,267,933
92,2023-01-07,02:56:10,ROLF!,202,958
93,2023-02-12,00:10:26,The cat is stuck in the garage!,300,94
94,2023-03-29,00:09:20,OMG!,599,353
95,2023-03-24,17:56:30,Oof that's gotta hurt,460,278
96,2023-02-08,08:34:37,"Hey girl, hey!",580,556
97,2023-02-08,17:32:09,Congrats on the new baby!,131,440
98,2023-03-18,10:25:17,Can we talk?,5,86
99,2023-02-22,11:34:48,Shut up grandma!,408,99
100,2023-01-06,21:21:23,Hey!,133,435
101,2023-03-04,03:34:18,Shut up grandma!,472,789
102,2023-02-19,10:54:48,What's Up?,441,387
103,2023-03-01,00:19:57,Pick up your mess next time!,993,322
104,2023-03-08,07:09:07,ROLF!,117,822
105,2023-02-17,05:53:04,Sup bro?,355,828
106,2023-02-16,12:08:39,What do you mean?,916,464
107,2023-01-14,05:28:47,Have you seen my keys?,327,76
108,2023-02-07,23:54:38,Hey!,102,259
109,2023-03-01,07:18:21,The cat is stuck in the garage!,855,784
110,2023-02-13,00:18:02,Whatcha doin?,145,610
111,2023-01-28,15:41:49,The cat is stuck in the garage!,339,684
112,2023-02-01,17:48:01,LMAO,549,695
113,2023-02-01,10:41:14,Have you seen my keys?,449,491
114,2023-01-14,11:38:52,Whatcha doin?,539,475
115,2023-01-26,19:46:11,ROLF!,507,983
116,2023-03-25,11:19:38,Congrats on the new baby!,832,371
117,2023-02-11,05:18:04,Sup bro?,315,359
118,2023-03-30,15:14:09,Can we talk?,239,16
119,2023-03-13,05:14:19,LMAO,126,630
120,2023-03-29,21:51:34,Congrats on the new baby!,473,797
121,2023-03-08,02:48:53,The cat is stuck in the garage!,36,53
122,2023-02-12,08:48:52,"Hey Siri, text Madeline.",482,919
123,2023-03-14,13:08:31,"Hey Siri, text Madeline.",336,817
124,2023-02-23,07:40:50,Hey!,499,413
125,2023-03-29,16:25:57,Hey!,761,789
126,2023-01-17,20:06:15,"Hey Siri, text Madeline.",246,882
127,2023-02-20,21:49:40,Can you pick up milk on your way home?,820,645
128,2023-02-01,04:30:59,I think you should get a job.,212,975
129,2023-03-17,10:44:24,"Hey girl, hey!",807,594
130,2023-02-02,01:55:17,"Hey girl, hey!",539,284
131,2023-03-28,16:45:38,"Hey Siri, text Madeline.",860,105
132,2023-02-17,06:04:02,Congrats on the new baby!,894,966
133,2023-02-21,16:43:44,LMAO,1000,502
134,2023-01-17,08:37:57,Whatcha doin?,85,669
135,2023-03-18,16:08:40,"Hey girl, hey!",413,417
136,2023-02-07,14:35:05,Hey!,877,591
137,2023-01-07,02:48:06,"Hey Siri, text Madeline.",371,116
138,2023-01-23,16:13:43,"Hey Siri, text Madeline.",553,314
139,2023-03-19,22:14:51,LMAO,877,748
140,2023-03-22,05:58:42,Pick up your mess next time!,352,974
141,2023-02-02,01:23:25,Sup bro?,916,255
142,2023-01-13,18:00:45,Yikes…,770,740
143,2023-03-10,21:21:45,I think you should get a job.,428,739
144,2023-03-09,14:26:32,"Hey girl, hey!",540,212
145,2023-02-01,15:42:09,Pick up your mess next time!,776,702
146,2023-02-11,23:18:59,LMAO,340,137
147,2023-03-09,10:19:47,U good?,346,705
148,2023-01-21,18:54:02,Oof that's gotta hurt,116,158
149,2023-02-01,19:19:00,"Hey Siri, text Madeline.",744,677
150,2023-01-01,10:35:38,Have you seen my keys?,238,122
151,2023-03-03,10:09:22,ROLF!,360,235
152,2023-03-09,09:19:42,U good?,230,661
153,2023-03-01,22:47:38,Whatcha doin?,606,517
154,2023-01-26,15:00:55,:),42,508
155,2023-02-27,01:13:43,I love you!,197,84
156,2023-02-21,20:12:47,LMAO,300,319
157,2023-01-02,12:08:54,LOL,679,187
158,2023-01-25,20:03:12,LMAO,170,432
159,2023-01-15,02:47:10,Yikes…,368,589
160,2023-01-26,13:12:04,I love you!,808,694
161,2023-03-09,14:25:36,"Hey girl, hey!",879,274
162,2023-01-25,02:20:36,:),452,135
163,2023-03-18,19:04:21,The cat is stuck in the garage!,503,293
164,2023-01-08,00:51:19,Shut up grandma!,649,886
165,2023-02-27,13:06:10,Oof that's gotta hurt,981,123
166,2023-01-20,13:28:41,Sup bro?,286,733
167,2023-03-11,12:20:06,I love you!,959,944
168,2023-03-13,07:52:02,The cat is stuck in the garage!,280,592
169,2023-03-28,15:59:12,Whatcha doin?,212,802
170,2023-02-02,03:40:05,:),192,160
171,2023-02-10,05:38:32,Can you pick up milk on your way home?,903,884
172,2023-03-19,06:45:17,Sup bro?,793,23
173,2023-01-13,06:34:48,Pick up your mess next time!,543,39
174,2023-03-26,11:30:22,Have you seen my keys?,235,941
175,2023-02-10,09:25:16,Yikes…,445,472
176,2023-02-06,22:59:53,Can you pick up milk on your way home?,870,515
177,2023-01-21,07:42:27,Can you pick up milk on your way home?,983,530
178,2023-01-13,17:18:26,ROLF!,384,566
179,2023-02-02,03:58:46,Pick up your mess next time!,703,634
180,2023-01-09,16:08:52,Yikes…,55,342
181,2023-03-11,22:55:01,"Hey girl, hey!",96,360
182,2023-01-10,10:30:55,U good?,991,353
183,2023-02-11,23:09:55,U good?,2,931
184,2023-03-21,13:11:54,Congrats on the new baby!,675,282
185,2023-02-01,22:52:28,Shut up grandma!,480,935
186,2023-03-07,03:03:58,LOL,147,105
187,2023-03-26,01:12:17,OMG!,456,730
188,2023-02-27,19:50:44,Have you seen my keys?,428,205
189,2023-02-20,23:04:24,Sup bro?,667,438
190,2023-01-11,08:55:06,Sup bro?,228,372
191,2023-02-25,06:01:22,"Hey Siri, text Madeline.",290,256
192,2023-01-29,20:03:56,I love you!,153,851
193,2023-02-04,00:09:34,"Hey girl, hey!",308,186
194,2023-01-09,19:23:42,What's Up?,816,124
195,2023-03-23,18:38:52,Please do the dishes!,749,805
196,2023-01-26,19:38:20,Hey!,857,338
197,2023-03-06,02:36:06,Oof that's gotta hurt,182,579
198,2023-03-22,02:01:47,LMAO,716,232
199,2023-02-01,00:39:25,Shut up grandma!,754,857
200,2023-01-02,22:33:23,Have you seen my keys?,24,582
201,2023-01-19,13:06:42,I think you should get a job.,498,472
202,2023-03-04,04:14:37,Can we talk?,651,631
203,2023-01-25,08:06:30,Oof that's gotta hurt,894,630
204,2023-01-19,13:44:44,The cat is stuck in the garage!,73,17
205,2023-01-05,21:11:09,What's Up?,972,960
206,2023-01-18,14:48:18,Pick up your mess next time!,691,490
207,2023-02-04,17:00:34,Congrats on the new baby!,86,326
208,2023-01-10,04:23:16,Congrats on the new baby!,551,370
209,2023-01-29,20:26:16,The cat is stuck in the garage!,691,924
210,2023-02-12,21:28:48,"Hey girl, hey!",55,246
